id_expo,nombre_expo,nombre_expo_ano,descripcion_expo,autor_texto,id_autor_texto,documento_ppal,id_documentos_expo,ano_ini,mes_ini,dia_ini,ano_fin,mes_fin,dia_fin,fecha_ini,fecha_fin,duracion_dias,artistas,id_personas_artistas,curadores,id_personas_curadores,presentadores,id_personas_presentadores,nombre_espacio,id_espacio,obras,id_obras,apoyan_auspicia,id_personas_apoyan,id_organizaciones_apoyan,id_img_doc_fk,observaciones_expos,tipo_expo,expo_order
13,Carlos Correa,Carlos Correa*1957,,,,d.84,,1957,3,1,,,,1957-03-01,1900-01-01,#NUM!,Carlos Correa,,,,Néstor Sanclemente,,Casona San Antonio,,,,,,,d2.pdf,,,13
17,Exposición de Mireya Zawadzky,Exposición de Mireya Zawadzky*1957,,,,,,1957,4,,,,,1957-04-01,1900-01-01,#NUM!,Mireya Zawadzki,,,,Carlos Garcés Córdoba,,Casona San Antonio,,,,,,,,,,14
14,Pintura al Óleo del artista español José María Vidal,Pintura al Óleo del artista español José María Vidal*1957,,,,,,1957,4,6,,,,1957-04-06,1900-01-01,#NUM!,José María Vidal,,,,José María Capdevila,,Casona San Antonio,,,,,,,,,,15
15,Exposición de vitrales de Mona Mondineu,Exposición de vitrales de Mona Mondineu*1957,,,,,,1957,6,14,,,,1957-06-14,1900-01-01,#NUM!,Mona Mondineu,,,,Óscar Gerardo Ramos,,Casona San Antonio,,,,,,,,,,16
16,Jornadas de Mayo,Jornadas de Mayo*1957,,,,d.83,,1957,7,15,,,,1957-07-15,1900-01-01,#NUM!,"Lucy Tejada, Mireya Zawadzki, Hernán Muñoz, Alfonso Vinasco, Mario Roldán, Hernando Tejada, Carlos Ruiz, Julio Abril, Hernando Salazar",,,,Carlos Garcés Córdoba,,Casona San Antonio,,,,,,,d1.pdf,,,17
18,Pintura abstracta de Carlos Rojas,Pintura abstracta de Carlos Rojas*1957,,,,,,1957,11,5,,,,1957-11-05,1900-01-01,#NUM!,Carlos Rojas,,,,José María Vivas Balcázar,,Casona San Antonio,,,,,,,,,,18
19,Pinturas de Ómar Rayo,Pinturas de Ómar Rayo*1957,,,,d.85,,1957,11,20,,,,1957-11-20,1900-01-01,#NUM!,Ómar Rayo,,,,Alba Inés Vivas,,Casona San Antonio,,,,Dirección de Bellas Artes y Extensión Cultural del Valle,,,d3.pdf,,,19
20,Acuarelas de Dicken Castro y cerámica Lucy Tejada,Acuarelas de Dicken Castro y cerámica Lucy Tejada*1957,,,,,,1957,12,6,,,,1957-12-06,1900-01-01,#NUM!,"Dicken Castro,Lucy Tejada",,,,Lucy Morales,,Casona San Antonio,,,,,,,,,,20
21,José de Rokha,José de Rokha*1958,,"Waldo Vila, Víctor Carbacho, Piper Randall, Alberto Borges",,d.86,,1958,2,7,1958,2,14,1958-02-07,1958-02-14,7,José de Rokha,,,,Mireya Zawadzki,,Casona San Antonio,,,,Dirección de Bellas Artes y Extensión Cultural del Valle,,,d4.pdf,,,21
22,Exposición de fotografía vallecaucana,Exposición de fotografía vallecaucana*1958,,,,,,1958,3,7,,,,1958-03-07,1900-01-01,#NUM!,Varios,,,,José María Vivas Balcázar,,Casona San Antonio,,,,,,,,,,22
23,"Exposición de pinturas de Pedro Gross (el mago ""gross"")","Exposición de pinturas de Pedro Gross (el mago ""gross"")*1958",,,,d.88,,1958,5,16,,,,1958-05-16,1900-01-01,#NUM!,Pedro Gross,,,,,,Casona San Antonio,,,,,,,d6.pdf,,,23
24,José Luis de Figueroa,José Luis de Figueroa*1958,,,,d.87,,1958,6,19,1958,6,23,1958-06-19,1958-06-23,4,José Luis de Figueroa,,,,Óscar Gerardo Ramos,,Casona San Antonio,,,,,,,d5.pdf,,,24
25,Aníbal Gil,Aníbal Gil*1958,,,,,,1958,7,,,,,1958-07-01,1900-01-01,#NUM!,Aníbal Gil,,,,Enrique Buenaventura,,Casona San Antonio,,,,,,,,,,25
26,Exposición de prensa estudiantil,Exposición de prensa estudiantil*1958,,,,,,1958,7,20,,,,1958-07-20,1900-01-01,#NUM!,Varios,,,,,,Casona San Antonio,,,,,,,,,,26
27,Exposición de acuarela chilena,Exposición de acuarela chilena*1958,,,,,,1958,10,17,,,,1958-10-17,1900-01-01,#NUM!,Varios,,,,,,Casona San Antonio,,,,,,,,,,27
28,Carlos Ruiz ,Carlos Ruiz *1958,,,,,,1958,11,28,,,,1958-11-28,1900-01-01,#NUM!,Carlos Ruiz,,,,Nicolás Buenaventura,,Casona San Antonio,,,,,,,,,,28
29,Exposición de dibujo infantil,Exposición de dibujo infantil*1958,,,,,,1958,12,8,,,,1958-12-08,1900-01-01,#NUM!,Varios,,,,,,Casona San Antonio,,,,,,,,,,29
30,Exposición de carteles comerciales,Exposición de carteles comerciales*1958,,,,,,1958,12,13,,,,1958-12-13,1900-01-01,#NUM!,Varios,,,,Jaime Correa,,Casona San Antonio,,,,,,,,,,30
31,Lucy Tejada y María Thereza Negreiros,Lucy Tejada y María Thereza Negreiros*1958,,,,,,1958,12,19,,,,1958-12-19,1900-01-01,#NUM!,"Lucy Tejada,María Thereza Negreiros",,,,Álvaro Navia Monedero,,Casona San Antonio,,,,,,,,,,31
32,Apuntes de Viaje,Apuntes de Viaje*1959,,,,,,1959,5,29,,,,1959-05-29,1900-01-01,#NUM!,Hernando Tejada,,,,,,Casona San Antonio,,,,,,,,,,32
33,Jaime López Correa,Jaime López Correa*1959,,,,,,1959,6,26,,,,1959-06-26,1900-01-01,#NUM!,Jaime López Correa,,,,,,Casona San Antonio,,,,,,,,,,33
34,Exposición de libros y caricaturas españolas,Exposición de libros y caricaturas españolas*1959,,,,,,1959,9,7,,,,1959-09-07,1900-01-01,#NUM!,Varios,,,,Manuel M. Bendaño,,Casona San Antonio,,,,,,,,,,34
35,Leandro Velasco,Leandro Velasco*1959,,,,d.92,,1959,10,30,,,,1959-10-30,1900-01-01,#NUM!,Leandro Velasco,,,,,,Casona San Antonio,,,,Dirección de Bellas Artes y Extensión Cultural del Valle,,,d13.pdf,,,35
36,Arboleda,Arboleda*1959,,,,d.90,,1959,11,6,,,,1959-11-06,1900-01-01,#NUM!,Alberto Arboleda,,,,,,Casona San Antonio,,,,,,,,,,36
37,Exposición de carteles cinematográficos,Exposición de carteles cinematográficos*1959,,,,,,1959,12,16,,,,1959-12-16,1900-01-01,#NUM!,Varios,,,,,,Casona San Antonio,,,,,,,,,,37
38,Alberto Gutiérrez,Alberto Gutiérrez*1960,,Marta Traba,,d.98,,1960,1,22,,,,1960-01-22,1900-01-01,#NUM!,Alberto Gutiérrez,,,,,,Casona San Antonio,,,,,,,d19.pdf,,,38
39,Exposición de Acuarelas,Exposición de Acuarelas*1960,,,,d.95,,1960,2,8,1960,2,15,1960-02-08,1960-02-15,7,Pablo Rocha,,,,,,Casona San Antonio,,,,,,,d16.pdf,,,39
40,16 pinturas de Juan Antonio Roda,16 pinturas de Juan Antonio Roda*1960,,,,d.110,,1960,3,4,,,,1960-03-04,1900-01-01,#NUM!,Juan Antonio Roda,,,,,,Casona San Antonio,,,,,,,d31.pdf,,,40
41,David Manzur,David Manzur*1960,,,,d.91,,1960,3,25,,,,1960-03-25,1900-01-01,#NUM!,David Manzur,,,,,,Casona San Antonio,,,,,,,d12.pdf,,,41
50,Exposición Colectiva de Pintura,Exposición Colectiva de Pintura*1960,,,,d.99,,1960,4,28,,,,1960-04-28,1900-01-01,#NUM!,"Lucy Tejada, Emilia Uribe de Mejía, María Thereza de patiño, David Manzur, Hernando Tejada, Leandro Velasco, Adriano Moreno, José Luis de Figueroa, Fritz Seifert,",,,,Libardo Lozano G.,,Casona San Antonio,,,,,,,d20.pdf,,,42
42,A. Rivera G.,A. Rivera G.*1960,,,,d.93,,1960,5,6,1960,5,14,1960-05-06,1960-05-14,8,Augusto Rivera,,,,,,Casona San Antonio,,,,,,,d14.pdf,,,43
