nombre_institucion,id_organizaciones,ano_constitucion,ano_cierre,financiacion,sectores,pais,id_imagen_logo_fk
El Péndulo,157,,,,,,
Embajada Británica,158,,,,,,
Embajada de Alemania,159,,,,,,
Embajada de Argentina,160,,,,,,
Embajada de Brasil,161,,,,,,
Embajada de Canadá,162,,,,,,
Embajada de China,163,,,,,,
Embajada de Colombia en Argentina,164,,,,,,
Embajada de España,165,,,,,,
Embajada de Francia,166,,,,,,
Embajada de la República Democrática Alemana,167,,,,,,
Embajada de la República Federal Alemana,168,,,,,,
Embajada de la República Popular de China,169,,,,,,
Embajada de los Estados Unidos,170,,,,,,
Embajada de México,171,,,,,,
Embajada de Perú,172,,,,,,
Embajada de Suiza,173,,,,,,
Embajada de Venezuela,174,,,,,,
Embajada de Yugoslavia,175,,,,,,
Emisora Planeta,177,,,,,,
Empresas Municipales de Cali,178,,,,,,
Empresas norteamericanas,179,,,,,,
En el marco del XV Festival Internacional de Arte de Cali,180,,,,,,
Epsa,181,,,,,,
Escuela de Arquitectura de la Universidad del Valle,182,,,,,,
Espacio Temporal Internacional Circuit México-Inglaterra-Argentina-Colombia,183,,,,,,
España Acción Cultural Exterior,184,,,,,,
Estación Digital,185,,,,,,
Estudios Takeshima,186,,,,,,
Eternit Pacífico,187,,,,,,
Everest Medical,188,,,,,,
Fantasías Femeninas,189,,,,,,
Faró,190,,,,,,
Federación Nacional de Cafeteros,191,,,,,,
Feriva,192,,,,,,
Ferretería Electra,193,,,,,,
Ferrocarriles Nacionales,194,,,,,,
FES,195,,,,,,
First National City Bank,196,,,,,,
Focus- analésico,197,,,,,,
Fondo Cubano de Bienes Culturales,198,,,,,,
Fondo Mixto,199,,,,,,
Fondo Mixto para la promoción de la Cultura y las Artes,200,,,,,,
Fondo Mixto para la Promoción de la Cultura y las Artes del Valle del Cauca,201,,,,,,
Fondo Mixto para la promoción de la Cultura y las Artesde San Andrés y Providencia,202,,,,,,
Foto-Estudio,203,,,,,,
Foto-Museo de Bogotá,204,,,,,,
Fundación Arteria,205,,,,,,
Fundación ATMA,206,,,,,,
Fundación Bolivar Davivienda,207,,,,,,
Fundación Casa-museo Maestro Pedro Nel Gómez,208,,,,,,
Fundación de la fotografía y la imagen,209,,,,,,
Fundación Epsa,210,,,,,,
Fundación Éxito,211,,,,,,
Fundación Función Visible,212,,,,,,
Fundación Gilberto Alzate Avendaño,213,,,,,,
Fundación Harold Eder,214,,,,,,
Fundación MAPFRE,215,,,,,,
Fundación Misol,216,,,,,,
Fundación Orbis,217,,,,,,
Fundación para la Educación superior,218,,,,,,
Fundación Puntos de Encuentro,219,,,,,,
Fundación Rogelio Salmona,220,,,,,,
Fundación Santo Domingo,221,,,,,,
Galería Arte Actual (Chile),222,,,,,,
Galería Belarca,223,,,,,,
Galería Carmen Waugh (Chile),224,,,,,,
Galería de Arte Actual,225,,,,,,
Galería Deimos de Bogotá,226,,,,,,
Galería Diners de Bogotá,227,,,,,,
Galería El Museo,228,,,,,,
Galería El Museo de Bogotá,229,,,,,,
Galería El Museo de Cali,230,,,,,,
Galería Época (Chile),231,,,,,,
Galería Fernando Quintana de Bogotá,232,,,,,,
Galería Francia de Medellin,233,,,,,,
Galería Francony de París,234,,,,,,
Galería Garcés Velásquez,235,,,,,,
Galería Luis Pérez de Bogotá,236,,,,,,
Galería Siglo XX de Quito,237,,,,,,
Galería Tovar de Bogotá,238,,,,,,
Gaseosas Postobón,239,,,,,,
Gases de Occidente,240,,,,,,
General Métalica Ltda,241,,,,,,
General Metálicas,242,,,,,,
Gerencia Cultural del Valle del Cauca,243,,,,,,
Gobernación del departamento del Cesar,244,,,,,,
Gobernación del Valle del Cauca,245,,,,,,
Gobierno Estadounidense,246,,,,,,
Goodyear,247,,,,,,
Graphics Ltda.,248,,,,,,
Grupo Atlas,249,,,,,,
Grupo North,250,,,,,,
Harinera del Valle,251,,,,,,
Honda,252,,,,,,
Hotel Casa Republicana,253,,,,,,
Hoteles Royal,254,,,,,,
Ifa,255,,,,,,
Igenio Providencia,256,,,,,,
Industria de Licores del Valle,257,,,,,,
Ingenio Ingenio Manuelita,258,,,,,,
Ingenio Manuelita,259,,,,,,
Ingenio Mayagüez,260,,,,,,
Ingenio Pichichi,261,,,,,,
Ingenio Río Paila,262,,,,,,
Insituto Goethe de Bogota,263,,,,,,
Institut für Auslandsbeziehungen,264,,,,,,
Instituto Alemán de Relaciones Exteriores con el Exterior,265,,,,,,
Instituto Colombiano de Cultura,266,,,,,,
Instituto Colombiano de Seguros Sociales,267,,,,,,
Instituto de Crédito Territorial,268,,,,,,
Instituto de Cultura Puertorriqueño,269,,,,,,
Instituto de Relaciones Culturales Colombo-Israelí,270,,,,,,
Instituto de Relaciones Exteriores de Alemania,271,,,,,,
Instituto Departamental de Bellas Artes,272,,,,,,
Instituto Distrital de Cultura y Turismo de Bogotá D.C.,273,,,,,,
Instituto Goethe,274,,,,,,
Instituto Goethe de Bogotá,275,,,,,,
Instituto Nacional de Bellas Artes de México,276,,,,,,
Instituto Nacional de Cultura y Bellas Artes,277,,,,,,
Instituto Popular de Cultura,278,,,,,,
Instituto Tamarind de EE.UU.,279,,,,,,
Internacional Association for Hospice and Palliative care,280,,,,,,
Internacional de Ediciones,281,,,,,,
Intituto Smithsonian de EE.UU,282,,,,,,
Inversiones Urdinola,283,,,,,,
Inversiones Xicalina,284,,,,,,
Johnnie Walker,285,,,,,,
KLM,286,,,,,,
Kool,287,,,,,,
La 14,288,,,,,,
La Cabaña,289,,,,,,
La Galería de la Oficina,290,,,,,,
La Garantía,291,,,,,,
La Sucursal.clo,292,,,,,,
Laboratorio Profesional,293,,,,,,
Laboratorios Carlo Erba,294,,,,,,
Laboratorios JGB,295,,,,,,
Laboratorios Lafrancol,296,,,,,,
Laboratorios Recamier,297,,,,,,
Ladeco,298,,,,,,
Lago y Sáenz,299,,,,,,
Las Delicias de Will's,300,,,,,,
Lomitos al Carbón,301,,,,,,
Lugar a Dudas,302,,,,,,
M.F. Publicidad,303,,,,,,
Mairie de Paris,304,,,,,,
Marañón,305,,,,,,
Más arte más acción,306,,,,,,
Ministerio de Asuntos Exteriores de España,307,,,,,,
Ministerio de Cultura,308,,,,,,
Ministerio de Cultura; Dirección de cultura del municipio de Cali,309,,,,,,
Ministerio de Relaciones Exteriores,310,,,,,,
Ministerio de Relaciones Exteriores de Argentina,311,,,,,,
Ministerio de Relaciones Exteriores del Brasil,312,,,,,,
Misión Colombiana ante las Naciones Unidas,313,,,,,,
Molinos Dagua,314,,,,,,
Museo Arqueológico La Merced,315,,,,,,
Museo Casa-estudio de Diego Rivera y Frida Khalo,316,,,,,,
Museo concertado,317,,,,,,
Museo de Antioquia,318,,,,,,
Museo de Arte de Caldas,319,,,,,,
Museo de arte de Pereira,320,,,,,,
Museo de Arte de Pereira,321,,,,,,
Museo de arte del Tólima,322,,,,,,
Museo de Arte Erótico Americano,323,,,,,,
Museo de Arte Erótico de Bogotá,324,,,,,,
Museo de Arte Moderno de Bogota,325,,,,,,
Museo de Arte Moderno de Cartagena,326,,,,,,
Museo de Arte Moderno de Medellín,327,,,,,,
Museo de Arte Moderno de Nueva York,328,,,,,,
Museo de Arte Moderno de Pereira,329,,,,,,
Museo de arte moderno de Pereira,330,,,,,,
Museo de Arte Moderno La Tertulia,331,,,,,,
Museo La Tertulia,332,,,,,,
Museo Nacional de Colombia,333,,,,,,
Museo Rayo,334,,,,,,
Nikos,335,,,,,,
Noralba de Morales,336,,,,,,
Oficina de Turismo del Valle del Cauca,338,,,,,,
OP Gráficas,339,,,,,,
OP gráficas ltda.,340,,,,,,
Pagnamenta,341,,,,,,
Panamerican World Airways,342,,,,,,
Panturismo,343,,,,,,
Parque Industria Cultural,344,,,,,,
Parquesoft,345,,,,,,
Periódico El Pueblo,346,,,,,,
Pintuco,347,,,,,,
Pisa,348,,,,,,
Plaza de Toros de Cali,349,,,,,,
Poker,350,,,,,,
Pontificia Universidad Javeriana,351,,,,,,
