nombre_registro_creador,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_nacimiento,ano_muerte,sexo,nacionalidad,pais_nacimiento,ciudad_nacimiento,ocupaciones,id_img__persona_fk,obra_en_coleccion_MTL,url_wikipedia_persona,observaciones_personas,,tipo_creador
Blanca Restrepo,634,Blanca,Restrepo,,,,,,Colombia,,,artista,,1,,,,
Bezdykian Assadour,635,Bezdykian,Assadour,,,,,,Líbano,,,artista,,1,,,,
Benjamín Lira,636,Benjamín,Lira,,,,,,Chile,,,artista,,1,,,,
Beatriz Ángel,637,Beatriz,Ángel,,,,,,Colombia,,,artista,,1,,,,
Beatriz Duque,638,Beatriz,Duque,,,,,,Colombia,,,artista,,1,,,,
Baruj Salinas,639,Baruj,Salinas,,,,,,Cuba,,,artista,,1,,,,
Baldomero Pestana,640,Baldomero,Pestana,,,,,,Puerto Rico,,,artista,,1,,,,
Asdrúbal Domínguez,641,Asdrúbal,Domínguez,,,,,,Rep. Dominicana,,,artista,,1,,,,
Ary Brizzi,642,Ary,Brizzi,,,,,,Argentina,,,artista,,1,,,,
Arthur Luiz Piza,643,Arthur Luiz,Piza,,,,,,Brasil,,,artista,,1,,,,
Arthur Tashko,644,Arthur,Tashko,,,,,,Colombia,,,artista,,0,,,,
Arnulfo Luna,645,Arnulfo,Luna,,,,,,Colombia,,,artista,,1,,,,
Arnoldo Ramírez Amaya,646,Arnoldo,Ramírez Amaya,,,,,,Guatemala,,,artista,,1,,,,
Arnaldo Coen,647,Arnaldo,Coen,,,,,,México,,,artista,,1,,,,
Armin Tröger,648,Armin,Tröger,,,,,,Colombia,,,artista,,1,,,,
Armando Londoño,649,Armando,Londoño,,,,,,Colombia,,,artista,,1,,,,
Antonio Eligio Fernandez,650,Antonio Eligio,Fernandez,Tonel,,,,,Cuba,,,artista,,1,,,,
Antonio Alvarado,651,Antonio,Alvarado,,,,,,Panamá,,,artista,,1,,,,
Antonio Berni,652,Antonio,Berni,,,,,,Argentina,,,artista,,1,,,,
Antonio Díaz-Cortés,653,Antonio,Díaz-Cortés,,,,,,México,,,artista,,1,,,,
Antonio Grass,654,Antonio,Grass,,,,,,Colombia,,,artista,,1,,,,
Antonio Joseph,655,Antonio,Joseph,,,,,,Haití,,,artista,,1,,,,
Antonio Martorell,656,Antonio,Martorell,,,,,,Puerto Rico,,,artista,,1,,,,
Antonio Osorio,657,Antonio,Osorio,,,,,,Colombia,,,artista,,1,,,,
Antonio Peláez,658,Antonio,Peláez,,,,,,México,,,artista,,1,,,,
Antonio Rodríguez,659,Antonio,Rodríguez,,,,,,México,,,artista,,1,,,,
Antonio Samudio,660,Antonio,Samudio,,,,,,Colombia,,,artista,,1,,,,
Antonio Saura,661,Antonio,Saura,,,,,,España,,,artista,,1,,,,
Antoni Tapies,662,Antoni,Tapies,,,,,,España,,,artista,,1,,,,
Anselmo Carrera Rojas,663,Anselmo,Carrera Rojas,,,,,,Perú,,,artista,,1,,,,
Anna Letycia Quadros,664,Anna Letycia,Quadros,,,,,,Brasil,,,artista,,1,,,,
Anna Bella Geiger,665,Anna Bella,Geiger,,,,,,Brasil,,,artista,,1,,,,
Aníbal Gil,666,Aníbal,Gil,,,,,,Colombia,,,artista,,1,,,,
Ángela María Restrepo,667,Ángela María,Restrepo,,,,,,Colombia,,,artista,,1,,,,
Ángel Loochkartt,668,Ángel,Loochkartt,,,,,,Colombia,,,artista,,1,,,,
Andy Warhol,669,Andy,Warhol,,,,,,Estados Unidos,,,artista,,1,,,,
Ana Patricia Palacios,670,Ana Patricia,Palacios,,,,,,Colombia,,,artista,,1,,,,
Ana María Mazzei,671,Ana María,Mazzei,,,,,,Venezuela,,,artista,,1,,,,
Ana Durán,672,Ana,Durán,,,,,,Colombia,,,artista,,1,,,,
Ana Velasco,673,Ana,Velasco,,,1973,,F,Colombia,Colombia,Cali,artista,,1,,,,
Álvaro Herrán,674,Álvaro,Herrán,,,,,,Colombia,,,artista,,1,,,,
Álvaro Peñarete,675,Álvaro,Peñarete,,,,,,Colombia,,,artista,,1,,,,
Alirio Palacios,676,Alirio,Palacios,,,,,,Venezuela,,,artista,,1,,,,
Alicia Barney,677,Alicia,Barney,,,1952,,F,Colombia,Colombia,Cali,artista,,1,,,,
Alfredo Liga Luppi,678,Alfredo,Liga Luppi,,,,,,Argentina,,,artista,,0,,,,
Alfredo Lleras Rojas,679,Alfredo,Lleras Rojas,,,,,,Colombia,,,artista,,1,,,,
Alfredo Sinclair,680,Alfredo,Sinclair,,,,,,Panamá,,,artista,,1,,,,
Alfredo Zalce,681,Alfredo,Zalce,,,,,,México,,,artista,,1,,,,
Alfonso Esparza,682,Alfonso,Esparza,,,,,,Colombia,,,artista,,1,,,,
Alfonso Mateus Ortega,683,Alfonso,Mateus Ortega,,,,,,Colombia,,,artista,,1,,,,
Alexander Calder,684,Alexander,Calder,,,,,,Estados Unidos,,,artista,,1,,,,
Alberto Arboleda,685,Alberto,Arboleda,,,,,,Colombia,,,artista,,1,,,,
Alberto Gironella,686,Alberto,Gironella,,,,,,México,,,artista,,1,,,,
Alberto Gutiérrez,687,Alberto,Gutiérrez,,,,,,Colombia,,,artista,,1,,,,
Alberto Prieto,688,Alberto,Prieto,,,,,,Colombia,,,artista,,1,,,,
Alberto Rincón,689,Alberto,Rincón,,,,,,Colombia,,,artista,,1,,,,
Alberto Sierra,690,Alberto,Sierra,,,,,,Colombia,,,artista,,1,,,,
Alberto Sojo,691,Alberto,Sojo,,,,,,Colombia,,,artista,,1,,,,
Al Held,692,Al,Held,,,,,,Estados Unidos,,,artista,,1,,,,
Agustín Cárdenas,693,Agustín,Cárdenas,,,,,,Cuba,,,artista,,1,,,,
Anónimo De Tanzania,694,,,,,,,,África,,,artista,,1,,,,
Guzmán,695,,Guzmán,,,,,,,,,artista,,1,,,,
"Lazid Thame,Francisco Icaza",696,,,,,,,,,,,artista,,1,,,,
Onosato,697,,Onosato,,,,,,Japón,,,artista,,1,,,,
Tovar,698,,Tovar,,,,,,Perú,,,artista,,1,,,,
Zulema Damianovich,699,Zulema,Damianovich,,,,,,,,,artista,,0,,,,
Zheng Yunfeg,700,Zheng,Yunfeg,,,,,,,,,artista,,0,,,,
Yves Tanguy,701,Yves,Tanguy,,,,,,,,,artista,,0,,,,
Yolanda Mesa,702,Yolanda,Mesa,,,,,,,,,artista,,0,,,,
Yolanda Pineda,703,Yolanda,Pineda,,,,,,,,,artista,,0,,,,
Yesid Montaña,704,Yesid,Montaña,,,,,,,,,artista,,0,,,,
Yanz Poli,705,Yanz,Poli,,,,,,,,,artista,,0,,,,
Ximena Medina,706,Ximena,Medina,,,,,,,,,artista,,0,,,,
Xavier Héctor,707,Xavier,Héctor,,,,,,,,,artista,,0,,,,
Xanti Schawinsky,708,Xanti,Schawinsky,,,,,,,,,artista,,0,,,,
Wynn Bullock,709,Wynn,Bullock,,,,,,,,,artista,,0,,,,
Wulf Barsch,710,Wulf,Barsch,,,,,,,,,artista,,0,,,,
Wolfang Oppermann,711,Wolfang,Oppermann,,,,,,,,,artista,,0,,,,
Wiston Kennedy,712,Wiston,Kennedy,,,,,,,,,artista,,0,,,,
Wing Fong,713,Wing,Fong,,,,,,,,,artista,,0,,,,
Wilson Díaz,714,Wilson,Díaz Polanco,,Wilson Díaz Polanco,1963,,M,Colombia,Colombia,"Pitalito, Huila",artista,,0,,,,
Willy Spiler,715,Willy,Spiler,,,,,,,,,artista,,0,,,,
William Baziotes,716,William,Baziotes,,,,,,,,,artista,,0,,,,
William Scott,717,William,Scott,,,,,,,,,artista,,0,,,,
William Turnbull,718,William,Turnbull,,,,,,,,,artista,,0,,,,
Will Bradley,719,Will,Bradley,,,,,,,,,artista,,0,,,,
Werner Bischof,720,Werner,Bischof,,,,,,,,,artista,,0,,,,
Werner Friedli,721,Werner,Friedli,,,,,,,,,artista,,0,,,,
Werner Haug,722,Werner,Haug,,,,,,,,,artista,,0,,,,
Werner Herzog,723,Werner,Herzog,,,,,,,,,artista,,0,,,,
Werner Pfeiffer,724,Werner,Pfeiffer,,,,,,,,,artista,,0,,,,
Werner Schreib,725,Werner,Schreib,,,,,,,,,artista,,0,,,,
Wendy Wilson,726,Wendy,Wilson,,,,,,,,,artista,,0,,,,
Weisner,727,Weisner,,,,,,,,,,artista,,0,,,,
Wayne Peterson,728,Wayne,Peterson,,,,,,,,,artista,,0,,,,
Wanda Pimentel,729,Wanda,Pimentel,,,,,,,,,artista,,0,,,,
Walter Allner,730,Walter,Allner,,,,,,,,,artista,,0,,,,
Walter Bachinski,731,Walter,Bachinski,,,,,,,,,artista,,0,,,,
Walter Bosshard,732,Walter,Bosshard,,,,,,,,,artista,,0,,,,
Walter Kohler,733,Walter,Kohler,,,,,,,,,artista,,0,,,,
Walter Laubli,734,Walter,Laubli,,,,,,,,,artista,,0,,,,
Walter Mittelholzer,735,Walter,Mittelholzer,,,,,,,,,artista,,0,,,,
Walter Redinger,736,Walter,Redinger,,,,,,,,,artista,,0,,,,
Walter Tello,737,Walter,Tello,,,,,,,,,artista,,0,,,,
Walter Valentini,738,Walter,Valentini,,,,,,,,,artista,,0,,,,
Waldo Balart,739,Waldo,Balart,,,,,,,,,artista,,0,,,,
Walderedo Goncalves,740,Walderedo,Goncalves,,,,,,,,,artista,,0,,,,
Walass Ting,741,Walass,Ting,,,,,,,,,artista,,0,,,,
Vita Giorgi,742,Vita,Giorgi,,,,,,,,,artista,,0,,,,
Virgilio Trompiz,743,Virgilio,Trompiz,,,,,,,,,artista,,0,,,,
Vinicio Horta,744,Vinicio,Horta,,,,,,,,,artista,,0,,,,
Vin Giuliani,745,Vin,Giuliani,,,,,,,,,artista,,0,,,,
Viktir Natali-Morosow,746,Viktir,Natali-Morosow,,,,,,,,,artista,,0,,,,
Victoria Salamanca,747,Victoria,Salamanca,,,,,,,,,artista,,0,,,,
Víctor Chab,748,Víctor,Chab,,,,,,,,,artista,,0,,,,
Víctor Delhez,749,Víctor,Delhez,,,,,,,,,artista,,0,,,,
Víctor Escalante,750,Víctor,Escalante,,,,,,,,,artista,,0,,,,
Víctor Moscoso,751,Víctor,Moscoso,,,,,,,,,artista,,0,,,,
Víctor Robledo,752,Víctor,Robledo,,,,,,,,,artista,,0,,,,
Víctor Sánchez,753,Víctor,Sánchez,,,,,,,,,artista,,0,,,,
Víctor Varela,754,Víctor,Varela,,,,,,,,,artista,,0,,,,
Vicente Martín,755,Vicente,Martín,,,,,,,,,artista,,0,,,,
Verónica Bancalari,756,Verónica,Bancalari,,,,,,,,,artista,,0,,,,
Vásquez Brito,757,Vásquez,Brito,,,,,,,,,artista,,0,,,,
Van LeBus,758,Van,LeBus,,,,,,,,,artista,,0,,,,
Valerio Rodrigues,759,Valerio,Rodrigues,,,,,,,,,artista,,0,,,,
Valerie Brathwaite,760,Valerie,Brathwaite,,,,,,,,,artista,,0,,,,
Valerie Maynard,761,Valerie,Maynard,,,,,,,,,artista,,0,,,,
Uwe Lausen,762,Uwe,Lausen,,,,,,,,,artista,,0,,,,
Utz Kampmann,763,Utz,Kampmann,,,,,,,,,artista,,0,,,,
Ursula,764,Ursula,,,,,,,,,,artista,,0,,,,
Ursula Heller,765,Ursula,Heller,,,,,,,,,artista,,0,,,,
Urs Luthi,766,Urs,Luthi,,,,,,,,,artista,,0,,,,
Urs Stoss,767,Urs,Stoss,,,,,,,,,artista,,0,,,,
Umberto Peña,768,Umberto,Peña,,,,,,,,,artista,,0,,,,
Ulysse Dutoit,769,Ulysse,Dutoit,,,,,,,,,artista,,0,,,,
Uldarico Minotta,770,Uldarico,Minotta,,,,,,,,,artista,,0,,,,
Tutua Boshell,771,Tutua,Boshell,,,,,,,,,artista,,0,,,,
Toni Krajnc,772,Toni,Krajnc,,,,,,,,,artista,,0,,,,
Tonel,773,Tonel,,,,,,,,,,artista,,0,,,,
Tomoko Miho,774,Tomoko,Miho,,,,,,,,,artista,,0,,,,
Tomie Ohtake,775,Tomie,Ohtake,,,,,,,,,artista,,0,,,,
Tomás Parra,776,Tomás,Parra,,,,,,,,,artista,,0,,,,
Tomás Sánchez,777,Tomás,Sánchez,,,,,,,,,artista,,0,,,,
Tomas Lasasnsky,778,Tomas,Lasasnsky,,,,,,,,,artista,,0,,,,
Tomas Reyes,779,Tomas,Reyes,,,,,,,,,artista,,0,,,,
Tom Berg,780,Tom,Berg,,,,,,,,,artista,,0,,,,
Todd Ayoung,781,Todd,Ayoung,,,,,,,,,artista,,0,,,,
Toa Castellanos,782,Toa,Castellanos,,,,,,,,,artista,,0,,,,
Titus-Carmel,783,Titus-Carmel,,,,,,,,,,artista,,0,,,,
Thophile Steinlen,784,Thophile,Steinlen,,,,,,,,,artista,,0,,,,
Thomaz Ianelli,785,Thomaz,Ianelli,,,,,,,,,artista,,0,,,,
Thomas Coleman,786,Thomas,Coleman,,,,,,,,,artista,,0,,,,
Thomas Cugini,787,Thomas,Cugini,,,,,,,,,artista,,0,,,,
Thomas Gentille,788,Thomas,Gentille,,,,,,,,,artista,,0,,,,
Thomas Lenk,789,Thomas,Lenk,,,,,,,,,artista,,0,,,,
Thomas Mann,790,Thomas,Mann,,,,,,,,,artista,,0,,,,
Thomas Ruff,791,Thomas,Ruff,,,,,,,,,artista,,0,,,,
Thomas Struth,792,Thomas,Struth,,,,,,,,,artista,,0,,,,
Thibaut Cuisset,793,Thibaut,Cuisset,,,,,,,,,artista,,0,,,,
Thereza Miranda,794,Thereza,Miranda,,,,,,,,,artista,,0,,,,
Theo Frey,795,Theo,Frey,,,,,,,,,artista,,0,,,,
Teresa Arango,796,Teresa,Arango,,,,,,,,,artista,,0,,,,
Teresa Casanova,797,Teresa,Casanova,,,,,,,,,artista,,0,,,,
Tere Perdomo,798,Tere,Perdomo,,,,,,,,,artista,,0,,,,
Teodoro Maoz,799,Teodoro,Maoz,,,,,,,,,artista,,0,,,,
Tatiana Alamos,800,Tatiana,Alamos,,,,,,,,,artista,,0,,,,
Tang Desheng,801,Tang,Desheng,,,,,,,,,artista,,0,,,,
Tana Hoban,802,Tana,Hoban,,,,,,,,,artista,,0,,,,
Talita Long,803,Talita,Long,,,,,,,,,artista,,0,,,,
Takao Tanabe,804,Takao,Tanabe,,,,,,,,,artista,,0,,,,
Symour Chwast,805,Symour,Chwast,,,,,,,,,artista,,0,,,,
Sydney Scherr,806,Sydney,Scherr,,,,,,,,,artista,,0,,,,
Suzanne Hausammann,807,Suzanne,Hausammann,,,,,,,,,artista,,0,,,,
Susan Kingsley,808,Susan,Kingsley,,,,,,,,,artista,,0,,,,
Susan Tamulevich,809,Susan,Tamulevich,,,,,,,,,artista,,0,,,,
Susan Wilchins,810,Susan,Wilchins,,,,,,,,,artista,,0,,,,
Susan Zimmerman,811,Susan,Zimmerman,,,,,,,,,artista,,0,,,,
Steven Cortright,812,Steven,Cortright,,,,,,,,,artista,,0,,,,
Steven Sorman,813,Steven,Sorman,,,,,,,,,artista,,0,,,,
Steve Poleskie,814,Steve,Poleskie,,,,,,,,,artista,,0,,,,
Stephen Albair,815,Stephen,Albair,,,,,,,,,artista,,0,,,,
Stanley Hayter,816,Stanley,Hayter,,,,,,,,,artista,,0,,,,
Stanley Lechtzin,817,Stanley,Lechtzin,,,,,,,,,artista,,0,,,,
Soutie,818,Soutie,,,,,,,,,,artista,,0,,,,
Sophie Larger,819,Sophie,Larger,,,,,,,,,artista,,0,,,,
Sonia Bohórquez,820,Sonia,Bohórquez,,,,,,,,,artista,,0,,,,
Sonia Castro,821,Sonia,Castro,,,,,,,,,artista,,0,,,,
Sonia Sánchez,822,Sonia,Sánchez,,,,,,,,,artista,,0,,,,
Solange Oliveira,823,Solange,Oliveira,,,,,,,,,artista,,0,,,,
Sol Lewitt,824,Sol,Lewitt,,,,,,,,,artista,,0,,,,
Slobodan Nedeljkovic,825,Slobodan,Nedeljkovic,,,,,,,,,artista,,0,,,,
Sismo,826,Sismo,,,,,,,,,,artista,,0,,,,
Sine Hansen,827,Sine,Hansen,,,,,,,,,artista,,0,,,,
Simone Meweg,828,Simone,Meweg,,,,,,,,,artista,,0,,,,
Silvia Londoño,829,Silvia,Londoño,,,,,,,,,artista,,0,,,,
Silvia Malagrino,830,Silvia,Malagrino,,,,,,,,,artista,,0,,,,
Silvia Mallarino,831,Silvia,Mallarino,,,,,,,,,artista,,0,,,,
Silvia Patiño,832,Silvia,Patiño,,,,,,,,,artista,,0,,,,
Silvia Rivas,833,Silvia,Rivas,,,,,,,,,artista,,0,,,,
Silvia Salgado,834,Silvia,Salgado,,,,,,,,,artista,,0,,,,
Sigmund Abeles,835,Sigmund,Abeles,,,,,,,,,artista,,0,,,,
Sigifredo Chacón,836,Sigifredo,Chacón,,,,,,,,,artista,,0,,,,
Shiro Ikegawa,837,Shiro,Ikegawa,,,,,,,,,artista,,0,,,,
Shiko Munakat,838,Shiko,Munakat,,,,,,,,,artista,,0,,,,
Sherry Grauer,839,Sherry,Grauer,,,,,,,,,artista,,0,,,,
Sheri Simons,840,Sheri,Simons,,,,,,,,,artista,,0,,,,
Servulo Esmeraldo,841,Servulo,Esmeraldo,,,,,,,,,artista,,0,,,,
Sergio Martínez,842,Sergio,Martínez,,,,,,,,,artista,,0,,,,
Sergio Moreno,843,Sergio,Moreno,,,,,,,,,artista,,0,,,,
Sergio Ruiz,844,Sergio,Ruiz,,,,,,,,,artista,,0,,,,
Sergio Trujillo,845,Sergio,Trujillo,,,,,,,,,artista,,0,,,,
Serge Tousignant,846,Serge,Tousignant,,,,,,,,,artista,,0,,,,
Saverio Castellano,847,Saverio,Castellano,,,,,,,,,artista,,0,,,,
Saúl Balagura,848,Saúl,Balagura,,,,,,,,,artista,,0,,,,
Sara Modiano,849,Sara,Modiano,,,,,,,,,artista,,0,,,,
Santos Chávez,850,Santos,Chávez,,,,,,,,,artista,,0,,,,
Santiago Medina,851,Santiago,Medina,,,,,,,,,artista,,0,,,,
Santiago Spinosa,852,Santiago,Spinosa,,,,,,,,,artista,,0,,,,
Sandy Walker,853,Sandy,Walker,,,,,,,,,artista,,0,,,,
Sammy Benmayor,854,Sammy,Benmayor,,,,,,,,,artista,,0,,,,
Salvador Dalí,855,Salvador,Dalí,,,,,,,,,artista,,0,,,,
Safet Zec,856,Safet,Zec,,,,,,,,,artista,,0,,,,
Sabara Segal,857,Sabara,Segal,,,,,,,,,artista,,0,,,,
S. Crawford,858,S.,Crawford,,,,,,,,,artista,,0,,,,
Ruven Afanador,859,Ruven,Afanador,,,,,,,,,artista,,0,,,,
Ruth Nivola,860,Ruth,Nivola,,,,,,,,,artista,,0,,,,
Rupprecht Geiger,861,Rupprecht,Geiger,,,,,,,,,artista,,0,,,,
Rudy Pozzatti,862,Rudy,Pozzatti,,,,,,,,,artista,,0,,,,
Rudolf Lichtsteiner,863,Rudolf,Lichtsteiner,,,,,,,,,artista,,0,,,,
Rousselot,864,Rousselot,,,,,,,,,,artista,,0,,,,
Rossini Perez,865,Rossini,Perez,,,,,,,,,artista,,0,,,,
Rossini Quintas,866,Rossini,Quintas,,,,,,,,,artista,,0,,,,
Rosmarie Hausheer,867,Rosmarie,Hausheer,,,,,,,,,artista,,0,,,,
Rosita Carvajal,868,Rosita,Carvajal,,,,,,,,,artista,,0,,,,
Rosi Schwartzman,869,Rosi,Schwartzman,,,,,,,,,artista,,0,,,,
Rosenell Baud,870,Rosenell,Baud,,,,,,,,,artista,,0,,,,
Rosa Vélez,871,Rosa,Vélez,,,,,,,,,artista,,0,,,,
Ronier Marín,872,Ronier,Marín,,,,,,,,,artista,,0,,,,
Ronan,873,Ronan,,,,,,,,,,artista,,0,,,,
Ronald Lodes,874,Ronald,Lodes,,,,,,,,,artista,,0,,,,
Ron Arad,875,Ron,Arad,,,,,,,,,artista,,0,,,,
Ron Ho,876,Ron,Ho,,,,,,,,,artista,,0,,,,
Rolf Harder,877,Rolf,Harder,,,,,,,,,artista,,0,,,,
Rolf Schroeter,878,Rolf,Schroeter,,,,,,,,,artista,,0,,,,
Rolf Winnewiser,879,Rolf,Winnewiser,,,,,,,,,artista,,0,,,,
Rolando Dorrego,880,Rolando,Dorrego,,,,,,,,,artista,,0,,,,
Roland Schneider,881,Roland,Schneider,,,,,,,,,artista,,0,,,,
Rolado Peña,882,Rolado,Peña,,,,,,,,,artista,,0,,,,
Rogério Luz,883,Rogério,Luz,,,,,,,,,artista,,0,,,,
Roger Aguilar,884,Roger,Aguilar,,,,,,,,,artista,,0,,,,
Roger Cook,885,Roger,Cook,,,,,,,,,artista,,0,,,,
Roger Kuhn,886,Roger,Kuhn,,,,,,,,,artista,,0,,,,
Rodrigo Andrade,887,Rodrigo,Andrade,,,,,,,,,artista,,0,,,,
Rodrigo Callejas,888,Rodrigo,Callejas,,,,,,,,,artista,,0,,,,
Rodrigo Castaño,889,Rodrigo,Castaño,,,,,,,,,artista,,0,,,,
Rodrigo Fernández,890,Rodrigo,Fernández,,,,,,,,,artista,,0,,,,
Rodrigo Salazar,891,Rodrigo,Salazar,,,,,,,,,artista,,0,,,,
Rodolfo Ayoroa,892,Rodolfo,Ayoroa,,,,,,,,,artista,,0,,,,
Rodolfo Opazo,893,Rodolfo,Opazo,,,,,,,,,artista,,0,,,,
Rodolfo Ruiz,894,Rodolfo,Ruiz,,,,,,,,,artista,,0,,,,
Roddolfo Vélez,895,Roddolfo,Vélez,,,,,,,,,artista,,0,,,,
Robin Quigley,896,Robin,Quigley,,,,,,,,,artista,,0,,,,
Roberto Aguilar,897,Roberto,Aguilar,,,,,,,,,artista,,0,,,,
Roberto Fabelo,898,Roberto,Fabelo,,,,,,,,,artista,,0,,,,
Roberto Juárez,899,Roberto,Juárez,,,,,,,,,artista,,0,,,,
Roberto Paez,900,Roberto,Paez,,,,,,,,,artista,,0,,,,
Roberto Páramo,901,Roberto,Páramo,,,,,,,,,artista,,0,,,,
Robert Adams,902,Robert,Adams,,,,,,,,,artista,,0,,,,
Robert Blackburn,903,Robert,Blackburn,,,,,,,,,artista,,0,,,,
Robert Brady,904,Robert,Brady,,,,,,,,,artista,,0,,,,
Robert Breer,905,Robert,Breer,,,,,,,,,artista,,0,,,,
Robert Edendort,906,Robert,Edendort,,,,,,,,,artista,,0,,,,
Robert Fichter,907,Robert,Fichter,,,,,,,,,artista,,0,,,,
Robert Frank,908,Robert,Frank,,,,,,,,,artista,,0,,,,
Robert Friedman,909,Robert,Friedman,,,,,,,,,artista,,0,,,,
Robert Kushner,910,Robert,Kushner,,,,,,,,,artista,,0,,,,
Robert Miles,911,Robert,Miles,,,,,,,,,artista,,0,,,,
Robert Osborn,912,Robert,Osborn,,,,,,,,,artista,,0,,,,
Robert Parker,913,Robert,Parker,,,,,,,,,artista,,0,,,,
Robert Smithson,914,Robert,Smithson,,,,,,,,,artista,,0,,,,
Robert Stackhouse,915,Robert,Stackhouse,,,,,,,,,artista,,0,,,,
Robert Vickery,916,Robert,Vickery,,,,,,,,,artista,,0,,,,
Robert Zakanitch,917,Robert,Zakanitch,,,,,,,,,artista,,0,,,,
Rita Longa,918,Rita,Longa,,,,,,,,,artista,,0,,,,
Richard Coble,919,Richard,Coble,,,,,,,,,artista,,0,,,,
Richard Koslow,920,Richard,Koslow,,,,,,,,,artista,,0,,,,
Richard Mafong,921,Richard,Mafong,,,,,,,,,artista,,0,,,,
Richard Mill,922,Richard,Mill,,,,,,,,,artista,,0,,,,
Richard Pottruff,923,Richard,Pottruff,,,,,,,,,artista,,0,,,,
Richard Smith,924,Richard,Smith,,,,,,,,,artista,,0,,,,
Richard Ziemann,925,Richard,Ziemann,,,,,,,,,artista,,0,,,,
Richar Hutten,926,Richar,Hutten,,,,,,,,,artista,,0,,,,
Ricardo Arjona,927,Ricardo,Arjona,,,,,,,,,artista,,0,,,,
Ricardo Caballero,928,Ricardo,Caballero,,,,,,,,,artista,,0,,,,
Ricardo Migliorisi,929,Ricardo,Migliorisi,,,,,,,,,artista,,0,,,,
Ricardo Ohtake,930,Ricardo,Ohtake,,,,,,,,,artista,,0,,,,
Renina Katz,931,Renina,Katz,,,,,,,,,artista,,0,,,,
René Alis,932,René,Alis,,,,,,,,,artista,,0,,,,
René Avila,933,René,Avila,,,,,,,,,artista,,0,,,,
René Burri,934,René,Burri,,,,,,,,,artista,,0,,,,
René Groebli,935,René,Groebli,,,,,,,,,artista,,0,,,,
René Machler,936,René,Machler,,,,,,,,,artista,,0,,,,
René Magritte,937,René,Magritte,,,,,,,,,artista,,0,,,,
René Zäch,938,René,Zäch,,,,,,,,,artista,,0,,,,
Remo Bianchedi,939,Remo,Bianchedi,,,,,,,,,artista,,0,,,,
Régulo,940,Régulo,,,,,,,,,,artista,,0,,,,
Reginald Holmes,941,Reginald,Holmes,,,,,,,,,artista,,0,,,,
Reginald Pollack,942,Reginald,Pollack,,,,,,,,,artista,,0,,,,
Regina Cavalcanti,943,Regina,Cavalcanti,,,,,,,,,artista,,0,,,,
Regina Silveira,944,Regina,Silveira,,,,,,,,,artista,,0,,,,
Refel Moure,945,Refel,Moure,,,,,,,,,artista,,0,,,,
Rebekah Laskin,946,Rebekah,Laskin,,,,,,,,,artista,,0,,,,
Rebecca Medel,947,Rebecca,Medel,,,,,,,,,artista,,0,,,,
Raún Marroquín,948,Raún,Marroquín,,,,,,,,,artista,,0,,,,
Raúl,949,Raúl,,,,,,,,,,artista,,0,,,,
Raúl Alfaro,950,Raúl,Alfaro,,,,,,,,,artista,,0,,,,
Raúl Alonso,951,Raúl,Alonso,,,,,,,,,artista,,0,,,,
Raúl Cristancho,952,Raúl,Cristancho,,,1954,,F,Colombiana,Colombia,Moniquirá/Boyacá,artista,,0,,,,
Raúl Marroquín,953,Raúl,Marroquín,,,1948,,,Colombia/Holanda,Colombia,Bogotá,artista,,0,http://www.li-ma.nl/site/catalogue/agent/raul-marroquin/49,,,
Raúl Milián,954,Raúl,Milián,,,,,,,,,artista,,0,,,,
Raul Jenkins,955,Raul,Jenkins,,,,,,,,,artista,,0,,,,
Raul Martínez,956,Raul,Martínez,,,,,,,,,artista,,0,,,,
Ramona Solberg,957,Ramona,Solberg,,,,,,,,,artista,,0,,,,
Ramón Barba,958,Ramón,Barba,,,,,,,,,artista,,0,,,,
Ramón Giovanni,959,Ramón,Giovanni,,,,,,,,,artista,,0,,,,
Ramón Haiti,960,Ramón,Haiti,,,,,,,,,artista,,0,,,,
Ramón Oviedo,961,Ramón,Oviedo,,,,,,,,,artista,,0,,,,
Ramiro Gómez,962,Ramiro,Gómez,,,,,,,,,artista,,0,,,,
Ramiro Jácome,963,Ramiro,Jácome,,,,,,,,,artista,,0,,,,
Ralph Eckerstrom,964,Ralph,Eckerstrom,,,,,,,,,artista,,0,,,,
Ralph Stanbridge,965,Ralph,Stanbridge,,,,,,,,,artista,,0,,,,
Rainer Kuchenmeister,966,Rainer,Kuchenmeister,,,,,,,,,artista,,0,,,,
Raimundo Orozco,967,Raimundo,Orozco,,,,,,,,,artista,,0,,,,
Raheel Bruns,968,Raheel,Bruns,,,,,,,,,artista,,0,,,,
Rafalel Tufiño,969,Rafalel,Tufiño,,,,,,,,,artista,,0,,,,
Rafael Bogarin,970,Rafael,Bogarin,,,,,,,,,artista,,0,,,,
Rafael Botero,971,Rafael,Botero,,,,,,,,,artista,,0,,,,
Rafael Paneca,972,Rafael,Paneca,,,,,,,,,artista,,0,,,,
Rafael Penagos,973,Rafael,Penagos,,,,,,,,,artista,,0,,,,
Rafael Zarza,974,Rafael,Zarza,,,,,,,,,artista,,0,,,,
Radi Designers,975,Radi,Designers,,,,,,,,,artista,,0,,,,
Plinio Carvajal,976,Plinio,Carvajal,,,,,,,,,artista,,0,,,,
Pilar Otálora,977,Pilar,Otálora,,,,,,,,,artista,,0,,,,
