nombre_registro_creador,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_nacimiento,ano_muerte,sexo,nacionalidad,pais_nacimiento,ciudad_nacimiento,ocupaciones,id_img__persona_fk,obra_en_coleccion_MTL,url_wikipedia_persona,observaciones_personas,,tipo_creador
Mercedes Sebastián,59,Mercedes,Sebastián,,,,,,Colombia,,,artista,,4,,,,
María Cristina Cortés,60,María Cristina,Cortés,,,,,,Colombia,,,artista,,4,,,,
León Alcántara,61,León,Alcántara,,,,,,Colombia,,,artista,,4,,,,
Juan Camilo Uribe,62,Juan Camilo,Uribe,,,,,,Colombia,,,artista,,4,,,,
Juan Bernal Ponce,63,Juan,Bernal Ponce,,,,,,Chile,,,artista,,3,,,,
José Guadalupe Posada,64,José Guadalupe,Posada,,,,,,México,,,artista,,4,,,,
José Gamarra,65,José,Gamarra,,,1934,,M,Uruguay,Uruguay,Tacuarembó,artista,,2,,,,
Jonier Marín,66,Jonier,Marín,,,,,,Colombia,,,artista,,3,,,,
John Castles,67,John,Castles,,,,,,Colombia,,,artista,,4,,,,
Jan Bartelsman,68,Jan,Bartelsman,,,,,,Colombia,,,artista,,4,,,,
Iazid Thame,69,Iazid,Thame,,,,,,Brasil,,,artista,,4,,,,
Hugo Zapata,70,Hugo,Zapata,,,,,,Colombia,,,artista,,4,,,,
Geo Ripley,71,Geo,Ripley,,,,,,Rep. Dominicana,,,artista,,4,,,,
Fernando de Szyszlo,72,Fernando,de Szyszlo,,,1925,,M,Perú,Perú,Lima,artista,,4,,,,
Feliza Bursztyn,73,Feliza,Bursztyn,,,,,,Colombia,,,artista,,4,,,,
Eduardo Vilches,74,Eduardo,Vilches,,,,,,Chile,,,artista,,4,,,,
Cristina Llano,75,Cristina,Llano,,,1955,,F,Colombiana,Colombia ,Cali,artista,,4,,,,
Antonio Seguí,76,Antonio,Seguí,,,1934,,M,Argentina,Argentina,Córdoba,artista,,4,,,,
Ana Mercedes Hoyos,77,Ana Mercedes,Hoyos,,,1942,,F,Colombia,Colombia ,Bogotá,artista,,4,,,,
Álvaro Marín Vieco,78,Álvaro,Marín Vieco,,,,,,Colombia,,,artista,,4,,,,
Alicia Viteri,79,Alicia,Viteri,,,,,,Colombia,,,artista,,4,,,,
Alfonso Quijano Acero,80,Alfonso,Quijano Acero,,,,,,Colombia,,,artista,,4,,,,
Yutaka Toyota,81,Yutaka,Toyota,,,1931,,,Brasil / Japón,Japón,Tendo,artista,,3,,,,
Wilmer García,82,Wilmer,García,,,,,,Colombia,,,artista,,3,,,,
Will Barnet,83,Will,Barnet,,,,,,Estados Unidos,,,artista,,1,,,,
Shigeru Kimura,84,Shigeru,Kimura,,,,,,Japón,,,artista,,3,,,,
Rufino Tamayo,85,Rufino,Tamayo,,,,,,México,,,artista,,3,,,,
Roxana Mejía Vallejo,86,Roxana,Mejía Vallejo,,,,,,Colombia,,,artista,,3,,,,
Rosemberg Sandoval,87,Rosemberg,Sandoval,,,1959,,M,Colombia,Colombia,Cartago,artista,,2,,,,
Rogelio Polesello,88,Rogelio,Polesello,,,,,,Argentina,,,artista,,3,,,,
Rodolfo Vélez,89,Rodolfo,Vélez,,,1956,,M,Colombia,Colombia,Cali,artista,,3,,,,
Roberto Sebastián Matta,90,Roberto Sebastián,Matta,,,,,,Chile,,,artista,,3,,,,
Robert Kipniss,91,Robert,Kipniss,,,,,,,,,artista,,2,,,,
Paul Davis,92,Paul,Davis,,,,,,Estados Unidos,,,artista,,3,,,,
Pablo Picasso,93,Pablo,Picasso,,,,,,España,,,artista,,3,,,,
Otto Moll González,94,Otto,Moll González,,,,,,Colombia,,,artista,,3,,,,
Óscar Jaramillo,95,Óscar,Jaramillo,,,,,,Colombia,,,artista,,3,,,,
Nubia Hoyos De Bonilla,96,Nubia,Hoyos De Bonilla,,,,,,Colombia,,,artista,,3,,,,
Nancy Friedemann,97,Nancy,Friedemann,,,,,,Colombia,,,artista,,3,,,,
Miljenko Horvat,98,Miljenko,Horvat,,,,,,Canadá,,,artista,,3,,,,
Miguel Bresciano,99,Miguel,Bresciano,,,,,,Uruguay,,,artista,,3,,,,
Mariano Rodríguez,100,Mariano,Rodríguez,,,,,,Cuba,,,artista,,3,,,,
María Luisa Beer,101,María Luisa,Beer,,,,,,Brasil,,,artista,,3,,,,
María Angélica Medina,102,María Angélica,Medina,,,,,,,,,artista,,0,,,,
Lydia Azout,103,Lydia,Azout,,,,,,Colombia,,,artista,,3,,,,
Luis Fernando Peláez,104,Luis Fernando,Peláez,,,1945,,M,Colombia,Colombia ,Jericó/Antioquia,artista,,3,,,,
Luis Fernando Roldán,105,Luis Fernando,Roldán,,,1955,,M,Colombia,Colombia ,Cali ,artista,,3,,,,
Luis Díaz,106,Luis,Díaz,,,,,,Guatemala,,,artista,,3,,,,
Luis Hernández Cruz,107,Luis,Hernández Cruz,,,,,,Puerto Rico,,,artista,,2,,,,
Luciano Jaramillo,108,Luciano,Jaramillo,,,,,,Colombia,,,artista,,2,,,,
Louise Nevelson,109,Louise,Nevelson,,,,,,Estados Unidos,,,artista,,3,,,,
Karen Lamassonne,110,Karen,Lamassonne,,,,,,Colombia,,,artista,,3,,,,
Julio Le Parc,111,Julio,Le Parc,,,,,,Argentina,,,artista,,3,,,,
Juan Manuel Echavarría,112,Juan Manuel,Echavarría,,,1947,,M,Colombia,Colombia,Medellín,artista,,3,,,,
Juan Soriano,113,Juan,Soriano,,,,,,México,,,artista,,2,,,,
José Horacio Martínez,114,José Horacio,Martínez,,,1961,,M,Colombia,Colombia,Buga,artista,,3,,,,
Jesús Rafael Soto,115,Jesús Rafael,Soto,,,,,,Venezuela,,,artista,,3,,,,
Ignacio Gómez Jaramillo,116,Ignacio,Gómez Jaramillo,,,,,,Colombia,,,artista,,3,,,,
Heriberto Cogollo,117,Heriberto,Cogollo,,,,,,Colombia,,,artista,,3,,,,
Francisco Rocca-Lynn,118,Francisco,Rocca-Lynn,,,,,,Colombia,,,artista,,3,,,,
Francisco Rodón,119,Francisco,Rodón,,,,,,Puerto Rico,,,artista,,3,,,,
Francis Bacon,120,Francis,Bacon,,,,,,Inglaterra,,,artista,,2,,,,
Eduardo Carvajal,121,Eduardo,Carvajal,,,,,,Colombia,,,artista,,3,,,,
Delia Cugat,122,Delia,Cugat,,,,,,Argentina,,,artista,,3,,,,
Darío Morales,123,Darío,Morales,,,,,,Colombia,,,artista,,3,,,,
