id_expo,id_obra,nombre_expo,nombre_obra,ano
ex.209,o.3418,Beatriz González*1976,Jacqueline oasis*Beatriz González*1975,1976
ex.209,o.3419,Beatriz González*1976,On her britanic majesty's service*Beatriz González*1974,1976
ex.209,o.3935,Beatriz González*1976,Los suicidas del sisga*Beatriz González*1965,1976
ex.215,o.3943,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,La sabana de contact*Juan Fresan*1977,1977
ex.223,o.3936,Pintura y Escultura Colombiana de los Años 30*1978,En el barco*Ricardo Gómez Campuzano*1941,1978
ex.223,o.2137,Pintura y Escultura Colombiana de los Años 30*1978,El cenáculo de marinilla*Carlos Correa*1949,1978
ex.224,o.2854,Grabadores Norteamericanos*1978,Waiting*Will Barnet*1974,1978
ex.224,o.3091,Grabadores Norteamericanos*1978,"History of Printmaking: Durer at 23, in love. His bags are stolen*Warrington Colescott*1976",1978
ex.224,o.2856,Grabadores Norteamericanos*1978,Night Flower II*Kenjilo Nanao*1977,1978
ex.233,o.2143,"Ever Astudillo, Fernell Franco, Óscar Muñoz*1979",De la Serie: DE LA NOCHE*Ever Astudillo*1979,1979
ex.233,o.2200,"Ever Astudillo, Fernell Franco, Óscar Muñoz*1979",De la serie: BICICLETAS*Fernell Franco*1976,1979
ex.233,o.2201,"Ever Astudillo, Fernell Franco, Óscar Muñoz*1979",De la serie: INTERIORES*Fernell Franco*1977,1979
ex.233,o.2216,"Ever Astudillo, Fernell Franco, Óscar Muñoz*1979",De la serie: LAS PROSTITUTAS*Fernell Franco*1972,1979
ex.233,o.2217,"Ever Astudillo, Fernell Franco, Óscar Muñoz*1979",De la serie: INTERIORES*Fernell Franco*1978,1979
ex.233,o.3145,"Ever Astudillo, Fernell Franco, Óscar Muñoz*1979",Serie: INTERIORES*Fernell Franco*1983,1979
ex.236,o.2883,La Mujer En Las Artes Visuales*1980,Nubarrones en barrazas*Myrna Báez*1977,1980
ex.236,o.2737,La Mujer En Las Artes Visuales*1980,Sin título*Corina Briceño*1975,1980
ex.236,o.2820,La Mujer En Las Artes Visuales*1980,Samuel...interrogué a Yahvé en mi angustia y a sus oídos llegó*Marietta Berman*1976,1980
ex.236,o.2624,La Mujer En Las Artes Visuales*1980,Pueblo*Gracia Barrios*1971,1980
ex.236,o.2571,La Mujer En Las Artes Visuales*1980,Amazonía*Edith Behring*1973,1980
ex.236,o.2562,La Mujer En Las Artes Visuales*1980,Sonho da preguica*Ruth Bessoudo Courvoisier*1971,1980
ex.236,o.2702,La Mujer En Las Artes Visuales*1980,Tatu durminhoco*Ruth Bessoudo Courvoisier*1974,1980
ex.236,o.2604,La Mujer En Las Artes Visuales*1980,Desquiciados*Roser Bru*1968,1980
ex.236,o.2692,La Mujer En Las Artes Visuales*1980,Personaje*Roser Bru*1974,1980
ex.236,o.2130,La Mujer En Las Artes Visuales*1980,Remorir i*Roser Bru*1975,1980
ex.236,o.2309,La Mujer En Las Artes Visuales*1980,Estrella de mar*Feliza Bursztyn*1974,1980
ex.236,o.2119,La Mujer En Las Artes Visuales*1980,Sin título*Teresa Cuéllar*1973,1980
ex.236,o.2644,La Mujer En Las Artes Visuales*1980,Magnificamente solo*Delia Cugat*1973,1980
ex.236,o.2865,La Mujer En Las Artes Visuales*1980,Marchando*Delia Cugat*1977,1980
ex.236,o.1903,La Mujer En Las Artes Visuales*1980,Relieve*Beatriz Daza*1966,1980
ex.236,o.2310,La Mujer En Las Artes Visuales*1980,Urano ii*Geny Dignac*1969,1980
ex.236,o.2579,La Mujer En Las Artes Visuales*1980,Muro musical*Helen Escobedo*1972,1980
ex.236,o.2567,La Mujer En Las Artes Visuales*1980,Laberinto astral*Raquel Forner*1973,1980
ex.236,o.2001,La Mujer En Las Artes Visuales*1980,Open studio poster*Vera Frenkel*1973,1980
ex.236,o.2670,La Mujer En Las Artes Visuales*1980,Carta*Gertrud Goldschmidt*1973,1980
ex.236,o.2759,La Mujer En Las Artes Visuales*1980,Certo-errado*Anna Bella Geiger*1973,1980
ex.236,o.3935,La Mujer En Las Artes Visuales*1980,Los suicidas del sisga*Beatriz González*1965,1980
ex.236,o.2926,La Mujer En Las Artes Visuales*1980,Happy birthday*Beatriz González*1970,1980
ex.236,o.2784,La Mujer En Las Artes Visuales*1980,La otra cara de Ludwig Van Gogh.*Beatriz González*1973,1980
ex.236,o.3348,La Mujer En Las Artes Visuales*1980,Lesa majestad*Beatriz González*1974,1980
ex.236,o.2780,La Mujer En Las Artes Visuales*1980,La actualidad ilustrada*Beatriz González*1974,1980
ex.236,o.2783,La Mujer En Las Artes Visuales*1980,Mi lucha*Beatriz González*1974,1980
ex.236,o.2782,La Mujer En Las Artes Visuales*1980,Los reveces de la realeza*Beatriz González*1974,1980
ex.236,o.3418,La Mujer En Las Artes Visuales*1980,Jacqueline oasis*Beatriz González*1975,1980
ex.236,o.2779,La Mujer En Las Artes Visuales*1980,La iglesia está en peligro*Beatriz González*1976,1980
ex.236,o.2852,La Mujer En Las Artes Visuales*1980,Caballos II*Leonilda González*1976,1980
ex.236,o.2765,La Mujer En Las Artes Visuales*1980,Prisma -díptico-*Susy Iglicki*1975,1980
ex.236,o.2831,La Mujer En Las Artes Visuales*1980,Perspectiva para un abrazo*Susy Iglicki*1976,1980
ex.236,o.2844,La Mujer En Las Artes Visuales*1980,Sin título*Susy Iglicki*1977,1980
ex.236,o.2924,La Mujer En Las Artes Visuales*1980,Una noche más 2*María de la Paz Jaramillo*1974,1980
ex.236,o.2957,La Mujer En Las Artes Visuales*1980,La señora Macbeth*María de la Paz Jaramillo*1974,1980
ex.236,o.2958,La Mujer En Las Artes Visuales*1980,La señora Macbeth*María de la Paz Jaramillo*1974,1980
ex.236,o.2609,La Mujer En Las Artes Visuales*1980,La señora Macbeth*María de la Paz Jaramillo*1974,1980
ex.236,o.2648,La Mujer En Las Artes Visuales*1980,La señora Macbeth*María de la Paz Jaramillo*1974,1980
ex.236,o.2716,La Mujer En Las Artes Visuales*1980,La dueña I*María de la Paz Jaramillo*1975,1980
ex.236,o.2717,La Mujer En Las Artes Visuales*1980,La dueña II*María de la Paz Jaramillo*1975,1980
ex.236,o.2718,La Mujer En Las Artes Visuales*1980,La dueña III*María de la Paz Jaramillo*1975,1980
ex.236,o.2776,La Mujer En Las Artes Visuales*1980,La voz dorada*María de la Paz Jaramillo*1976,1980
ex.236,o.2979,La Mujer En Las Artes Visuales*1980,María de los guardias*María de la Paz Jaramillo*1979,1980
ex.236,o.2980,La Mujer En Las Artes Visuales*1980,María de los guardias*María de la Paz Jaramillo*1979,1980
ex.236,o.2837,La Mujer En Las Artes Visuales*1980,"Mitos y leyendas del olvido, iv*Ana María Mazzei*1976",1980
ex.236,o.2700,La Mujer En Las Artes Visuales*1980,"En, sobre, entre dos realidades*Gladys Meneses*1974",1980
ex.236,o.2908,La Mujer En Las Artes Visuales*1980,Indian summer*Anne Meredith Barry*1975,1980
ex.236,o.2891,La Mujer En Las Artes Visuales*1980,Sin título*Margarita Monsalve*1977,1980
ex.236,o.3913,La Mujer En Las Artes Visuales*1980,BATALLA DE HIERRO Y DE HOMBRE (zo fijado en madera*María Thereza Negreiros*1965,1980
ex.236,o.2306,La Mujer En Las Artes Visuales*1980,Recuerdos de un antepasado -tía catalina-*María Thereza Negreiros*1969,1980
ex.236,o.2506,La Mujer En Las Artes Visuales*1980,Dusk in august*Louise Nevelson*1969,1980
ex.236,o.2674,La Mujer En Las Artes Visuales*1980,Sky shadow*Louise Nevelson*1973,1980
ex.236,o.2758,La Mujer En Las Artes Visuales*1980,Sin título no. 6*Louise Nevelson*1973,1980
ex.236,o.2586,La Mujer En Las Artes Visuales*1980,Sombra amante*Luisa Palacios*1972,1980
ex.236,o.2585,La Mujer En Las Artes Visuales*1980,Cuerpos de claridad*Luisa Palacios*1972,1980
ex.236,o.2868,La Mujer En Las Artes Visuales*1980,Jeune fille*Gina Pellón*1977,1980
ex.236,o.2558,La Mujer En Las Artes Visuales*1980,Afiche para el movimiento por la paz en U.S.A.*Liliana Porter*1971,1980
ex.236,o.2699,La Mujer En Las Artes Visuales*1980,Caracol vermelho*Anna Letycia Quadros*1974,1980
ex.236,o.2701,La Mujer En Las Artes Visuales*1980,Dialogos de sombras*Louise Richter*1974,1980
ex.236,o.3917,La Mujer En Las Artes Visuales*1980,El mar muerto*Emma Reyes*1959,1980
ex.236,o.2713,La Mujer En Las Artes Visuales*1980,Voces confundidas*Margot Römer*1974,1980
ex.236,o.3028,La Mujer En Las Artes Visuales*1980,Sin título*Nunik Sauret*1979,1980
ex.236,o.2134,La Mujer En Las Artes Visuales*1980,Sin título*Lucy Tejada*1968,1980
ex.236,o.3922,La Mujer En Las Artes Visuales*1980,Color de rosa*Lucy Tejada*1968,1980
ex.236,o.2141,La Mujer En Las Artes Visuales*1980,De la serie: Los muros *Lucy Tejada*1973,1980
ex.236,o.2132,La Mujer En Las Artes Visuales*1980,Serie de los Jardines Prohibidos: PAJARO HERIDO*Lucy Tejada*1977,1980
ex.236,o.2131,La Mujer En Las Artes Visuales*1980,Sin título*Mariana Varela*1976,1980
ex.240,o.2113,1960–1980 Alcántara*1980,Son sombra de guerreros*Pedro Alcántara Herrán*1971,1980
ex.240,o.2114,1960–1980 Alcántara*1980,El martirio agiganta a los hombres-raíz*Pedro Alcántara Herrán*1966,1980
ex.240,o.2322,1960–1980 Alcántara*1980,San cualquiera*Pedro Alcántara Herrán*1966,1980
ex.240,o.2607,1960–1980 Alcántara*1980,Así son los héroes i*Pedro Alcántara Herrán*1971,1980
ex.240,o.2608,1960–1980 Alcántara*1980,Así son los héroes ii*Pedro Alcántara Herrán*1971,1980
ex.240,o.2610,1960–1980 Alcántara*1980,Retrato de un guerrero i*Pedro Alcántara Herrán*1972,1980
ex.240,o.2643,1960–1980 Alcántara*1980,Homenaje a George Jackson*Pedro Alcántara Herrán*1972,1980
ex.240,o.2775,1960–1980 Alcántara*1980,La danza de la muerte*Pedro Alcántara Herrán*1976,1980
ex.241,o.3215,Serie Amazónica*1980,Serie amazónica: las quemas*María Thereza Negreiros*1984,1980
ex.241,o.3947,Serie Amazónica*1980,Serie amazonica: selva No. 2*María Thereza Negreiros*1980,1980
ex.247,o.2162,Manuel Hernández*1981,Signo ronda*Manuel Hernández*1981,1981
ex.253,o.3949,Santiago Cárdenas*1982,El rincón*Santiago Cárdenas*1974,1982
ex.253,o.2597,Santiago Cárdenas*1982,El*Santiago Cárdenas*1972,1982
ex.262,o.2215,Actitudes Plurales*1983,Candida Eréndida en la casa de su abuela desalmada el día anterior al incendio*Patricia Bonilla*1982,1983
ex.265,o.3083,Seis Maestros Cubanos*1983,Ochosi*Wifredo Lam*1980,1983
ex.265,o.2839,Seis Maestros Cubanos*1983,Composición*Wifredo Lam*1961,1983
ex.265,o.3084,Seis Maestros Cubanos*1983,Sin título*Wifredo Lam*1978,1983
ex.265,o.3085,Seis Maestros Cubanos*1983,Sin título*Wifredo Lam*1981,1983
ex.274,o.3021,Antonio Barrera *1983,Amanecer*Antonio Barrera*,1983
ex.282,o.2854,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Waiting*Will Barnet*1974,1984
ex.282,o.2625,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Fuseli*Leonard Baskin*1969,1984
ex.282,o.2707,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*Herbert Bayer*1974,1984
