id_nodo,nombre_nodo,ano_apa,subclass,attr,class_nodo
o.2741,Chicago*Jacques Hurtubise*1975,1975,bidimensional,Jacques Hurtubise,obra
o.3325,Retrato de(?)*Jacques Villon*1940,1940,bidimensional,Jacques Villon,obra
o.2671,Señales i*Jacobo Borges*1973,1973,bidimensional,Jacobo Borges,obra
o.3292,Desdoblamiento*Ivel Weihmuller*1983,1983,bidimensional,Ivel Weihmuller,obra
o.3123,Sin título*Ismael Martínez Guardado*1982,1982,bidimensional,Ismael Martínez Guardado,obra
o.2858,Menhir*Ignacio Miranda*1977,1977,bidimensional,Ignacio Miranda,obra
o.2691,El gallo*Humberto Jaimes*1974,1974,bidimensional,Humberto Jaimes,obra
o.2668,Figuras en sable*Hugo Arape*1973,1973,bidimensional,Hugo Arape,obra
o.3945,Sin título*Hugo Camandona*,n/a,bidimensional,Hugo Camandona,obra
o.3905,La danza del curiquingue*Hugo Cifuentes*1967,1967,bidimensional,Hugo Cifuentes,obra
o.3233,Sin título*Homero Aguilar*1986,1986,bidimensional,Homero Aguilar,obra
o.2818,Bananea*Hervé Télémaque*1976,1976,bidimensional,Hervé Télémaque,obra
o.3310,Regata en Cartagena*Hernando Del Villar*1987,1987,bidimensional,Hernando Del Villar,obra
o.2247,Colores del alma*Hernando Ordóñez*1989,1989,bidimensional,Hernando Ordóñez,obra
o.3146,Un hombre*Hernando Rojas*1983,1983,bidimensional,Hernando Rojas,obra
o.2707,Sin título*Herbert Bayer*1974,1974,bidimensional,Herbert Bayer,obra
o.2509,Face*Henry Pearson*1969,1969,bidimensional,Henry Pearson,obra
o.3115,A yerbabuena*Helio Salcedo*1982,1982,bidimensional,Helio Salcedo,obra
o.2041,Sin título*Helga Krebs*1971,1971,bidimensional,Helga Krebs,obra
o.2579,Muro musical*Helen Escobedo*1972,1972,bidimensional,Helen Escobedo,obra
o.2248,Casa museo quevedo zornosa de zipaquira*Hector Wiesner Gracia*1990,1990,bidimensional,Hector Wiesner Gracia,obra
o.2697,Señales de vida*Hector Xavier*1974,1974,bidimensional,Hector Xavier,obra
o.1910,Botijon*Harold Muñoz*1969,1969,bidimensional,Harold Muñoz,obra
o.2593,Sin título*Hans Richter*1972,1972,bidimensional,Hans Richter,obra
o.2747,Qu'est ce que tu fais?*Hannes Postma*1975,1975,bidimensional,Hannes Postma,obra
o.3234,Rio*Gustavo Vejarano*1986,1986,bidimensional,Gustavo Vejarano,obra
o.2324,Sin título*Guillermo Cuartas*1979,1979,bidimensional,Guillermo Cuartas,obra
o.3446,Punto in arco*Guillermo Londoño*1996,1996,bidimensional,Guillermo Londoño,obra
o.2660,Leda*Guillermo Meza*1973,1973,bidimensional,Guillermo Meza,obra
o.2909,Sin título*Guillermo Núñez*1972,1972,bidimensional,Guillermo Núñez,obra
o.3122,Secretos*Guillermo Vélez*1984,1984,bidimensional,Guillermo Vélez,obra
o.2147,Sin título*Guillermo Wiedemann*1962,1962,bidimensional,Guillermo Wiedemann,obra
o.3326,Rose tropique*Guillaume Corneille*1972,1972,bidimensional,Guillaume Corneille,obra
o.2135,Paisaje*Gonzalo Ariza*1953,1953,bidimensional,Gonzalo Ariza,obra
o.3397,Sin título*Gonzalo Endara Crow*1991,1991,bidimensional,Gonzalo Endara Crow,obra
o.3396,Sin título*Gonzalo Endara-Crow*1990,1990,bidimensional,Gonzalo Endara-Crow,obra
o.3265,La espera*Gloria Uribe*1986,1986,bidimensional,Gloria Uribe,obra
o.2700,"En, sobre, entre dos realidades*Gladys Meneses*1974",1974,bidimensional,Gladys Meneses,obra
o.2463,Sin título*Giuliano Barbanti*1988,1988,bidimensional,Giuliano Barbanti,obra
o.2281,Natasha*Giovanni Vargas*1998,1998,bidimensional,Giovanni Vargas,obra
o.2728,Doppio rovescio*Gio Pomodoro*1975,1975,bidimensional,Gio Pomodoro,obra
o.2868,Jeune fille*Gina Pellón*1977,1977,bidimensional,Gina Pellón,obra
o.2721,Sin título*Gilbert Wayembergue*1975,1975,bidimensional,Gilbert Wayembergue,obra
o.2896,Lo studio*Gianfanco Ferroni*1977,1977,bidimensional,Gianfanco Ferroni,obra
o.2657,La dance de la fleur*Gesner Armand*1977,1977,bidimensional,Gesner Armand,obra
o.2670,Carta*Gertrud Goldschmidt*1973,1973,bidimensional,Gertrud Goldschmidt,obra
o.3098,Sin título*Gerardo Chávez*1974,1974,bidimensional,Gerardo Chávez,obra
o.3211,Ecograma de la ama-zona*Gerardo Ravassa*1984,1984,bidimensional,Gerardo Ravassa,obra
o.2981,Northern crack up*George Raab*1980,1980,bidimensional,George Raab,obra
o.2310,Urano ii*Geny Dignac*1969,1969,tridimensional,Geny Dignac,obra
o.3320,Imagen europea*Gabriel Silva Rubio*1987,1987,bidimensional,Gabriel Silva Rubio,obra
o.2973,Pacific*Gabor Peterdi*1971,1971,bidimensional,Gabor Peterdi,obra
o.3293,Sin título*Frederic Amat*1983,1983,bidimensional,Frederic Amat,obra
o.2710,St. Lawrence river*Fred Koot*1974,1974,bidimensional,Fred Koot,obra
o.2824,Metamorfosis*Francisco Bellorin*1976,1976,bidimensional,Francisco Bellorin,obra
o.2576,La potranca*Francisco Corzas*1972,1972,bidimensional,Francisco Corzas,obra
o.3992,Sin título*Francisco De La Puente*1989,1989,bidimensional,Francisco De La Puente,obra
o.3511,Sin título*Francisco Smythe*,n/a,bidimensional,Francisco Smythe,obra
o.2583,Animales*Francisco Toledo*1972,1972,bidimensional,Francisco Toledo,obra
o.2812,Sin título*Francesc Artigau*1976,1976,bidimensional,Francesc Artigau,obra
o.3172,De la Serie: LOS AMANTES*Flor María Bouhot*1985,1985,bidimensional,Flor María Bouhot,obra
o.2160,LOS PRESAGIOS #2.Apuntes para un estudio de la Con*Flavio Garciandía*1980,1980,bidimensional,Flavio Garciandía,obra
o.3544,Stop violence*Fernando Arias*2000,2000,bidimensional,Fernando Arias,obra
o.3077,Calendario*Fernando Cepeda*1980,1980,bidimensional,Fernando Cepeda,obra
o.2582,Composición 14*Fernando García Ponce*1972,1972,bidimensional,Fernando García Ponce,obra
