nombre_curador,id_curador,tipo,id_persona,id_organizacion
Rafael Pérez y Pérez,128,persona,3229,#N/A
Riccardo Giacconi,129,persona,3230,#N/A
Rosa Perales Piqueres,130,persona,3231,#N/A
Santiago Samper Trainer,131,persona,3232,#N/A
Sebastián Ramírez,132,persona,3233,#N/A
Sylvan Cole,135,persona,3234,#N/A
Talila Greenberg,136,persona,3235,#N/A
Verónica Wiman,138,persona,3236,#N/A
Víctor Alcalde,139,persona,3237,#N/A
Victoria Noorthoorn,140,persona,3238,#N/A
Waldemar Sommer,141,persona,3239,#N/A
William Contreras Alfonso,142,persona,3240,#N/A
Willim Harris,143,persona,3241,#N/A
Winston Kennedy,145,persona,3242,#N/A
Yohanna Roa,146,persona,3243,#N/A
