id_doc,nombre_documento,ano_creacion,mes_creacion,diseno_edicion,impresor,tipologia,formato_publicacion,encuadernacion_publicacion,digital,archivo_txt,ruta_txt,dim_cerrado_ancho,dim_cerrado_largo,num_modulos,area_cerrado,paleta_rgb,id_img_fk,Escanear,Notas
111,Segundo Portafolio 8 Artistas Latinoamericanos,1977,Diciembre,,,Programa de mano,,,1,,,,,,0,,d32.pdf,,
112,Antonio Grass Óleo,1966,Abril,,,"Catálogo, Invitación",plegable,,1,,,11.4,15.7,4,178.98,,d33.pdf,,
113,Lamiel,1966,Mayo,,,Catálogo,Plegable,,1,,,16.2,10.6,4,171.72,,d34.pdf,,
114,Mario Abreu,1966,Noviembre,,,Catálogo,Plegable,,1,,,12.3,19.9,6,244.77,,d35.pdf,,
115,Pinturas de Armando Villegas y Cerámicas de Alicia Tafur,1962,Marzo,,,Programa de mano,Plegable,,1,,,15.5,23,4,356.5,,d36.pdf,,
116,Gerardo Negret,1962,Febrero,,,"Programa de mano, Catálogo",Cuadernillo,Caballete,1,,,22.7,19.5,8,442.65,,d37.pdf,,
117,Óscar Pantoja,1962,Marzo,,,Catálogo,Plegable,,1,,,11.1,17.2,4,190.92,,d38.pdf,,
118,Alberto Gutiérrez,1962,Octubre,,,Invitación,Plegable,,1,,,13.7,24,6,328.8,,d39.pdf,,
119,María de la Paz Jaramillo y Óscar Jaramillo,1980,Noviembre,Elena Mogollón,,Programa de mano,Cuadernillo,Caballete,0,,,22,22.5,28,495,,,si,
120,"Juan Camilo Uribe, telescopios y Álvaro Barrios, sueños con Marcel Duchamp",1980,Mayo,Elena Mogollón,,Programa de mano,Cuadernillo,Caballete,0,,,21,21,18,441,,,si,
121,1960–1980 Alcántara,1980,Junio,Elena Mogollón,,"Programa de mano, Catálogo",Cuadernillo,Caballete,0,,,21,21,36,441,,,,
122,Fotografías Francois Dolmetsch,1980,Abril,,,Invitación,Postal,,0,,,14.5,18.5,2,268.25,,,,
123,Oleos litografías Robert Kipniss,1980,Enero,Elena Mogollón,A. Sandri & Cía.,Programa de mano,Cuadernillo,Caballete,0,,,21,21,20,441,,,si,
124,Richard Smith,1979,Enero,Imprimir Ltda.,Imprimir Ltda.,"Programa de mano, Catálogo",Cuadernillo,Caballete,0,,,17,24,12,408,,,,
125,Helen Frankenthaler,1979,Julio,,,"Catalogo, programa de mano",libro,Caballete,0,,,28,21,74,588,,,,
126,"Ever Astudillo, Fernell Franco, Óscar Muñoz",1979,Septiembre,Marta Granados,Impresores Ltda.,"Catalogo, programa de mano",Librillo,Encolado,0,,,21,21,32,441,,,,
127,Pintura y Escultura de los años 30,1978,Marzo,Coltextos - Cali,Gráficas Karinn & Cía,"Catalogo, programa de mano",Librillo,Caballete,0,,,23.85,22,36,524.7,,,si,
128,Obregón,1979,Abril,Domo Ltda.,Sandri,"Programa de mano, Catálogo",Plegable,,0,,,24,17,8,408,,,si,
129,3o. Colección del taller de artes gráficas del Museo de arte  moderno la tertulia,1979,Diciembre,,,Plan de ventas,plegable,,1,,,13.5,19.7,10,265.95,,,,
130,Manuel Hernández,1981,Noviembre,Elena Mogollón,Mágico Impresores Ltda.,Programa de mano,Cuadernillo,Caballete,0,,,21.3,21.3,12,453.69,,,,
131,Alexis Gorodine,1982,Octubre,,,"Programa de mano, Invitación ","Postal, plegable",,0,,,14.1,11.2,4,157.92,,,,
132,Primera expomarca latinoamerica,1982,Enero,,Litografias gamacolor,catalogo,plegable poster,,0,,,9,24,8,216,,,si,
133,Santiago Cárdenas ,1982,Junio,Elena Mogollón,OP Gráficas Ltda,"Catalogo, programa de mano",Cuadernillo,Caballete,0,,,21,21,16,441,,,,
134,Yutaka Toyota,1982,Septiembre,Elena Mogollón,Mágico,"Catalogo, programa de mano",Cuadernillo,Caballete,0,,,21,21,16,441,,,si,
135,Jonier Marin,1981,Septiembre,,,Programa de mano,Plegable,,0,,,11.9,21.8,8,259.42,,,,
136,La Tertulia,1960,Junio,Artes Publicitarias,,Boletín,Librillo,Caballete,0,,,17,24,40,408,,,,
137,Delia Cugat,1982,Noviembre,,,Programa de mano,Plegable,,0,,,21,18.8,6,394.8,,,,
