id_doc,nombre_documento,ano_creacion,mes_creacion,diseno_edicion,impresor,tipologia,formato_publicacion,encuadernacion_publicacion,digital,archivo_txt,ruta_txt,dim_cerrado_ancho,dim_cerrado_largo,num_modulos,area_cerrado,paleta_rgb,id_img_fk,Escanear,Notas
244,El tratamiento de las contradicciones,2012,Noviembre,Cactus,,Programa de mano,Plegable,,1,,,21,15,6,315,,,,
245,El tratamiento de las contradicciones,2012,Noviembre,Cactus,,Invitación,Volante,,1,,,15,22,2,330,,,,
246,Requiem NN / La guerra que no hemos visto,2011,Enero,Cactus,,Invitación,Postal,,1,,,18,24,2,432,,,,
247,Taking Care of Business. Un proyecto de Miami,2013,Febrero,Cactus,,Programa de mano,Plegable,,1,,,21,15,6,315,,,,
248,Objetos de estudio para una república popular demediada,2016,Julio,Cactus,,Programa de mano,Cuadernillo,Caballete,1,,,17,24,8,408,,,,Contiene un inserto grapado mas pequeño
249,Paisajes de la conciencia,2009,Septiembre,,,Programa de mano,Plegable,,0,,,21.5,28,6,602,,,,
250,Testigo de oídas,2014,Febrero,Cactus,,Invitación,Volante,,1,,,15,22,2,330,,,,
251,Las cosas en sí: Un sistema Frágil,2015,Julio,,,Programa de mano,Plegable,Grapado,0,,,14,21.8,8,305.2,,,,
252,Fototropismos,2014,Julio,Cactus,,Programa de mano,Cuadernillo,Caballete,1,,,11.6,17,14,197.2,,,,Tiene una solapa plegable
253,Premonitoria,2008,Septiembre,Vanessa Franco,,Programa de mano,Cuadernillo,Caballete,0,,,16.5,20,28,330,,,si,
254,Francisco De La Puente,1990,Junio,Morgan Marinetti,Morgan Marinetti,Catálogo,Librillo,Caballete,0,,,23,24,28,552,,,si,contiene fotografías a full color de la obra expuesta
255,Space Invaders,2008,Julio,,,Invitación,Postal,,0,,,10.5,15,2,157.5,,,,
256,Tres Escultores Colombianos,1990,Septiembre,,Impresión Plenty Ltda.,Programa de mano,Cuadernillo,Caballete,0,,,21.5,29.5,8,634.25,,,,
257,Artefacto,2008,Marzo,,,Programa de mano,Cuadernillo,Caballete,0,,,24.5,11,24,269.5,,,,
258,"Diego Mazuera, Puertos",1990,Octubre,,Impresión Plenty Ltda.,"Programa de mano, Invitación",Plegable,,0,,,21.2,23,4,487.6,,,,
259,Casa Flotante,2008,Julio,,,Programa de mano,Cuadernillo,Caballete,0,,,27,11,20,297,,,,
260,Cristina Llano,1990,Febrero,,Impresión Plenty Ltda.,"Programa de mano, Invitación",Plegable,,0,,,21.2,23,4,487.6,,,,
261,Luis Caballero,1990,Junio,,,Postal,Postal,,0,,,11.5,15.5,2,178.25,,,,
262,Constanza Aguirre,1990,Marzo,,Impresión Plenty Ltda.,"Programa de mano, Invitación",Plegable,,0,,,21.2,23,4,487.6,,,,
263,Carteles Cinematográficos,2009,Marzo,,,Invitación,Postal,,0,,,15,10.5,2,157.5,,,,
264,"Arboleda, Relieves",1990,Abril,,Escala,Programa de mano,Librillo,Caballete,0,,,24,21.6,16,518.4,,,,
265,Reconfiguraciones,2011,Agosto,Cactus,,Programa de mano,Plegable,,1,,,13,20,8,260,,,,
266,Reconfiguraciones,2011,Agosto,Cactus,,Cartilla Didáctica,Plegable,,1,,,22,28,6,616,,,,
267,"German Londoño, Pinturas Recienbres",1991,Octubre,Francisco Restrepo Nicholls,Excelsior Impresores,"Programa de mano, Catálogo",Cuadernillo,Caballete,0,,,21.3,28.5,16,607.05,,,,
268,Paige Abadi,1991,Junio,,Junio,Programa de mano,Plegable,,0,,,21.2,23,4,487.6,,,,
269,Hernando Ordoñez,1991,Octubre,,Impresión Plenty Ltda.,"Programa de mano, Invitación",Plegable,,0,,,21.2,23,4,487.6,,,,
270,Artistas de Buenos Aires,1991,Febrero,,Impresión Plenty Ltda.,Programa de mano,Librillo,Caballete,0,,,20.6,20.5,24,422.3,,,,
271,Master/Copy,2013,Marzo,Dos Hombres Lobos,Litho Copias Calidad,Catálogo,Librillo,Cosido Lateral,0,,,17.7,22,72,389.4,,,,
272,Master/Copy,2013,Marzo,Cactus,,Programa de mano,Plegable,,0,,,16,10,6,160,,,,
273,Master/Copy,2013,Marzo,Cactus,,Invitación,Volante,,0,,,21,14,2,294,,,,
274,Alberto Sojo,1991,Octubre,,Impresión Plenty Ltda.,Programa de mano,Plegable,,0,,,21.4,28,6,599.2,,,,
275,Joyeria Contemporanea Colombiana,1991,Septiembre,,Impresión Plenty Ltda.,Catálogo,Cuadernillo,Caballete,0,,,21,28,16,588,,,,
276,Rogelio Salmona / Miradas Transversales,2011,Mayo,Cactus,,Programa de mano,Plegable,,1,,,16,16,8,256,,,,
277,Liliana Porter,1991,Abril,,Impresión Plenty Ltda.,Programa de mano,Plegable,,0,,,21.4,23,4,492.2,,,,
278,Ocho Nuevos Artistas de Cali,1991,Febrero,,Impresión Plenty Ltda.,Programa de mano,Cuadernillo,Caballete,0,,,24,22.5,16,540,,,,
279,"Territorio en Discusión",2014,Noviembre,Cactus,,Programa de mano,Plegable,,1,,,17,24,8,408,,,,
280,Un hechizo en el espacio / El diablo probablemente,2015,Abril,Cactus,,Invitación,Postal,Sobre,1,,,18.5,12.5,6,231.25,,,,Sobre que contiene la invitación a las dos obras
281,Charla de Presentación por Antonio Caro,1991,Mayo,,,Postal,plegable,,0,,,15,21.7,4,325.5,,,,
282,Un hechizo en el espacio ,2015,Abril,Cactus,,Programa de mano,Poster,,1,,,21.5,28,2,602,,,,
283,Tejadita Viajero y Sibarita,2014,Diciembre,Cactus,,Invitación,plegable,,1,,,21.8,10.9,4,237.62,,,,
284,Tejadita Viajero y Sibarita,2014,Diciembre,Cactus,,Catálogo,Librillo,Caballete,1,,,22,15,44,330,,,,
285,Observaciones Sobre la Ciudad de Polvo,2013,Junio,Cactus,,Programa de mano,Cuadernillo,Caballete,1,,,10.9,15,24,163.5,,,,
286,Nueva Pintura Colombiana,2013,Junio,,,Programa de mano,Cuadernillo,Caballete,1,,,9,12,12,108,,,,
287,Bloc 2014,2014,Noviembre,Johnattan Ríos,,Programa de mano,Librillo,Encolado,0,,,17,22.1,35,375.7,,,,Librillo envuelto en un papel 
288,Requiem NN,2011,Enero,Cactus,,Programa de mano,plegable,,1,,,16,15,12,240,,,,
289,"Bajo el cemento, la tierra",2012,Julio,Cactus,,Programa de mano,plegable,,1,,,21,16,6,336,,,,
290,Presentación y Representación,2008,Noviembre,Cactus,,Programa de mano,plegable,,0,,,24,16,8,384,,,,
291,Protografías,2014,Octubre,Cactus,,Programa de mano,Cuadernillo,Caballete,1,,,11.2,15.2,16,170.24,,,,
292,Rojo y Más Rojo. Taller 4 Rojo. Producción gráfica y Acción Directa,2014,Marzo,,,Programa de mano,plegable,,0,,,23.5,32.5,4,763.75,,,,
293,Hacia el Litoral,2016,Septiembre,Cactus,,Programa de mano,plegable,,1,,,17,24,8,408,,,,
294,Testigo de oídas,2014,Febrero,Cactus,,Programa de mano,Cuadernillo,Caballete,1,,,11,15,20,165,,,,
295,Colonia Infancia: El reino del arte para explorar los sentidos,2015,Noviembre,Cactus,,Programa de mano,plegable,,1,,,8.5,12,16,102,,,,
296,Negreiros Retrospectiva Rompiendo espacios 1961–2007,2007,Septiembre,,,Programa de mano,plegable,,0,,,24,22,8,528,,,,
297,La Colección del Museo La Tertulia en Diálogo con la colección de la Fundación Arte Vivo Otero Herrera,2015,Febrero,Cactus,,Programa de mano,Cuadernillo,Caballete,1,,,11.5,17.5,30,201.25,,,,
298,Alloha & Calzadilla,2011,Enero,Cactus,,Invitación,volante,,0,,,14.2,10,2,142,,,,
299,I will always love you,2015,Febrero,Cactus,,Invitación,volante,,0,,,13.7,10.2,2,139.74,,,,
300,VIII Festival Nacional de Arte,1968,Junio,Peter Eggen G.,Carvajal & CIA,Programa de mano,Libro,,1,,,24.5,23,48,563.5,,d61.pdf,,
301,Exposición de Arte Virreinal Americano,1968,Noviembre,,,Catálogo,,,1,,,,,,0,,d62.pdf,,
302,"Mario Gordillo, Pinturas",1968,Febrero,,,Catálogo,,,1,,,,,,0,,d63.pdf,,
303,Pintura y Grabado hoy en Venezuela,1968,Diciembre,Rolando Dorrego,Editorial Arte,"Programa de mano, Catálogo",Librillo,Caballete,1,,,23.4,21.3,28,498.42,,d64.pdf,,
304,"Ricaurte - Miranda, Óleos y dibujos",1968,Octubre,,,Catálogo,Plegable,,1,,,23.2,16.9,6,392.08,,d65.pdf,,
305,"Cardenas, Òleos y dibujos",1968,Septiembre,,,Catálogo,Plegable,,1,,,23.1,16.8,6,388.08,,d66.pdf,,
306,Nueva Pintura,1991,Abril,,Plenty Ltda.,"Programa de mano, Catálogo",libro,Encolado,0,,,23.5,22.5,100,528.75,,,,
307,Luis Luna,1992,Febrero,,Plenty Ltda.,Programa de mano,Plegable,,0,,,21.3,23,4,489.9,,,,
308,Ruven Afanador,1992,Septiembre,,,Programa de mano,Plegable,,0,,,21.5,27.7,4,595.55,,,,
309,Nadin Ospina,1993,Mayo,,,"Programa de mano, Invitación",Plegable,,0,,,21.4,27.5,4,588.5,,,,
310,"Fotografía Brasileña, Historia y contemporaneidad",1992,Septiembre,,,programa de mano,librillo,Caballete,0,,,21.5,28,20,602,,,,
311,Jorge Julian Aristizabal,1992,Abril,,Plenty Ltda.,programa de mano,Plegable,,0,,,21.5,23,4,494.5,,,,
312,"Luis Fernando Pelaez, Ciudad",1992,Junio,,Plenty Ltda.,programa de mano,Plegable,,0,,,21,23,4,483,,,,
313,German Botero,1992,marzo,,Plenty Ltda.,programa de mano,Plegable,,0,,,21.1,22.9,4,483.19,,,,
314,"Tina Celis, Pintura",1993,Enero,,,programa de mano,Plegable,,0,,,21.3,23,4,489.9,,,,
315,Tuberculosis - sida: un diario,1992,Septiembre,Alberto Sierra,Imsergraf Ltda.,Catálogo,cuadernillo,caballete,0,,,21.4,27.5,8,588.5,,,sí,
316,"Lago y Saenza, Arquitectos",1992,Mayo,,plenty Ltda.,"Catálogo, Programa de mano",Plegable,,0,,,16.7,24.3,16,405.81,,,,
317,"Luis Fernando Pelaez, Ciudad",1992,Junio,Alberto Sierra,servigraficas,Catálogo,librillo,caballete,0,,,22,27.9,24,613.8,,,sí,
318,"Smythe, diario de viaje II",1992,mayo,Taller Uno,Editorial Lord Cochrane,"Programa de mano, Catálogo",Libro,Encolado,0,,,21,28,82,588,,,sí,
319,Maestros Colombianos a traves de la grafica Maria de la paz jaramillo,1993,Diciembre,,plenty Ltda.,programa de mano,plegable,,0,,,21.5,23,4,494.5,,,,
320,Beatriz Duque Pinturas,1993,Octubre,,plenty Ltda.,programa de mano,plegable,,0,,,21.5,23,4,494.5,,,,
321,homenaje a Marta Traba,1993,Noviembre,,,"Invitación, programa de mano",volante,,0,,,21.4,22.3,2,477.22,,,,
322,Irma Constanzo,1967,Noviembre,,,Catálogo,Plegable,,0,,,16.5,23,4,379.5,,,,
323,Luis Roldán Pinturas,1993,Noviembre,,,programa de mano,plegable,,0,,,21.5,27.3,6,586.95,,,,
324,Flora y magia,1993,Noviembre,,,programa de mano,plegable,,0,,,21.5,22.2,4,477.3,,,si,
325,Rafael Ortiz premio pintura Edmon Cobo,1994,Noviembre,Luz Stella Hernández P.,Plenty Ltda.,"Catalogo, Programa de mano",librillo,caballete,0,,,24,22.5,12,540,,,,
326,Jan Bartelsman Retrospectiva,1994,junio,Hugo Garcia,Plenty Ltda.,"programa de mano, catalogo",librillo,caballete,0,,,17,25.6,8,435.2,,,,
327,"Gabriel Silva pinturas, dibujos y objetos",1994,Agosto,,Plenty Ltda.,programa de mano,plegable,,0,,,21.3,22.3,4,474.99,,,,
328,"Bernardo Salcedo, Objetos",1994,Abril,,Plenty Ltda.,programa de mano,plegable,,0,,,21.4,22.4,4,479.36,,,,
329,"Juan Antonio Roda, Tierra de nadie, dibujos.",1994,Febrero,,,programa de mano,plegable,,0,,,21.4,22.4,4,479.36,,,,
330,"Jim Amaral, Esculturas",1994,Octubre,,Plenty Ltda.,programa de mano,plegable,,0,,,21.4,22.4,4,479.36,,,,
331,"Luis Fernando Escobar, pinturas",1994,junio,,Plenty Ltda.,programa de mano,plegable,,0,,,21.4,24.2,4,517.88,,,,
332,"Enrique Grau, Galapagos Series, iguanas",1996,Febrero,Alejandra Luzardo,,Programa de mano,Cuadernillo,caballete,0,,,23.5,23.5,12,552.25,,,,
333,Ocho Artistas de Cali,1994,Enero,,,Programa de mano,Cuadernillo,caballete,0,,,21.8,21.5,20,468.7,,,,
334,Cuatro Pintores de Cartagena,1994,Marzo,,,Programa de mano,plegable,,0,,,17.2,23.7,8,407.64,,,,
335,"Collaborations, Artists + Printers",1991,Enero,vaughn/ wedeen Creative,,"Programa de mano, Catálogo",Libro,Encolado,0,,,13.4,27.3,74,365.82,,,,
336,Punto de Apoyo,1994,Octubre,Russell Hassell,Thorner press,Programa de mano,Plegable,,0,,,21.7,21.7,8,470.89,,,,
337,Maestros Colombianos a Traves de la Gáfica ,1994,Octubre,,Plenty Ltda.,Catálogo,plegable,,0,,,20.8,23,4,478.4,,,,
338,"Miguel Angel Reyes, Pinturas",1995,Mayo,,plenty Ltda.,Programa de mano,plegable,,0,,,21.4,22.8,4,487.92,,,,
339,"Arquitectura del Ferrocarril del Pacífico, Planos y Dibujos",1994,Marzo,,Plenty Ltda.,Programa de mano,Libro,Encolado,0,,,22.1,22.4,24,495.04,,,,
340,Elias Heim,1994,Noviembre,Luz Stella Hernández P.,Plenty Ltda.,Programa de mano,Cuadernillo,caballete,0,,,22.5,28,4,630,,,,
341,Eduardo Mac Entyre,1969,Diciembre,,,"Catálogo, Programa de mano",Plegable,,1,,,17.5,23.4,6,409.5,,d67.pdf,,
342,"Enrique Grau, Óleos, Temperas, Dibujos",1969,Mayo,,,Catálogo,,,1,,,,,,0,,d68.pdf,,
343,"Gian-Franco Galante, Oleos",1969,Abril,,,Catálogo,Plegable,,1,,,23.4,17.8,6,416.52,,d69.pdf,,
344,"Ruby Posada, Grabados ",1997,Junio ,,,Programa de mano ,Plegable ,,0,,,21.6,28,4,604.8,,,,
345,Ofelia Rodrigues,1995,Abril,,Plenty Ltda.,Programa de mano,Plegable,,0,,,22,28.4,6,624.8,,,,
346,Cuarenta años Museo de Arte Moderno La Tertulia ,1996,Septiembre,Dicken Castro ,,Invitación ,plegable,,0,,,10.3,21,4,216.3,,,,
347,"Óscar Muñoz, Narcisos",1995,Octubre,Luz Stella Hernández,Plenty Ltda.,Programa de mano,Cuadernillo,Caballete,0,,,21.6,21.5,20,464.4,,,,
348,"Olga de Amaral, Stelae y paisajes ",1997,Enero ,NA ,,Catálogo ,Cuadernillo,Caballete,0,,,20.7,20.9,20,432.63,,,,
349,Comportamiento del Paisaje,1995,Mayo,Luz Stella Hernández,Plenty Ltda.,"Programa de mano, Catálogo",Librillo,Caballete,0,,,21.5,31,28,666.5,,,,
350,Travesía Anna María Botero,2007,Diciembre,NA ,,Programa de mano,Plegable,n,0,,,14,21.5,4,301,,,,
351,"Rufino Tamayo, Francisco Toledo, Jose Luis Cuevas. Tres Maestros Mexicano",1997,Abril ,Luz Stella Hernández,Plenty Ltda.,Programa de mano ,Cuadernillo,,0,,,21.4,27.9,4,597.06,,,,
352,Informe de labores del Museo de Arte Moderno La Tertulia,1996,Diciembre,NA ,,Boletín,Cuadernillo,Caballete,0,,,16.5,21.5,16,354.75,,,,Edición Rústica casera
353,"Alvaro Barrios, Los cincuenta caminos de la vida ",1997,Marzo ,Luz Stella Hernández,Plenty Ltda.,Catálogo ,Cuadernillo,Caballete,0,,,24.3,28,16,680.4,,,,
354,Visiones Latinoamericanas ,1997,Febrero ,Luz Stella Hernández,Plenty Ltda.,Programa de mano ,Plegable,,0,,,21.7,27.9,4,605.43,,,,
355,"Floras, Diana Saldarriaga",2007,Junio,NA ,,programa de mano,Cuadernillo,Caballete,0,,,15,15,12,225,,,,
356,Siete maestros colombianos a traves de la grafica ,1998,Febrero ,NA ,,Programa de mano ,plegable,,0,,,20.9,26.8,4,560.12,,,,
357,"Rey Tattoo, Carlos Zerpa, Pinturas - Esculturas ",1997,Agosto,Luz Stella Hernández,Efex,Programa de mano ,plegable,,0,,,21.4,27.9,4,597.06,,,,
358,Eduardo Muñoz Bachs carteles cinematográficos,2007,Marzo ,,,invitacion,volante,,0,,,11,22.9,2,251.9,,,,
359,"Maria Cristina Cortes, Serie caldos de cultivo ",1997,Diciembre,,,Programa de mano ,Plegable ,,0,,,21.9,27,6,591.3,,,,
360,"Fernell Franco, Retratos de ciudad",1997,Octubre,,Efex,Programa de mano ,Plegable ,,0,,,22,21.8,6,479.6,,,,
361,"Monica Meira, pinturas",2007,Mayo,,,invitacion,volante,,0,,,11,23,2,253,,,,
362,Maria Thereza Negreiros,1997,Noviembre,,Feriva S.A.,Programa de mano ,Plegable,,0,,,19.5,25,16,487.5,,,,
363,"Rojo sobre Rojo. Johnnie Walker en las artes, Programa anual Johnnie Walker Red Label 1997 - 1998",1998,Marzo ,Camilo Umaña Caro ,Litografía Arco ,Catálogo ,Libro ,Encolado ,0,,,21,29.9,100,627.9,,,,
364,Imaginación y Fantasía - Lista de obras,1997,Mayo ,Luz Stella Hernández,Plenty Ltda.,Catálogo ,Cuadernillo,Encolado ,0,,,21.4,27.8,14,594.92,,,,
365,Gustavo Zalamea,1996,Agosto,,,programa de mano,plegable,,0,,,21,28,4,588,,,,
366,Imaginación y Fantasía ,1997,Mayo ,Luz Stella Hernández,Plenty Ltda.,Catálogo ,Libro ,Encolado ,0,,,21.5,27.9,36,599.85,,,,
367,"Hugo Zapata, Edgar Negret, Arte y Tiempo",1995,Marzo,,,Programa de mano,Cuadernillo,Caballete,0,,,21.5,28,12,602,,,,
368,"VIII Salón Regional, Zona 8, Valle del Cauca",1997,Octubre,"José Horacio Martínez, Pilar Shaikh",Feriva S.A.,Catálogo ,Librillo ,Caballete,0,,,16,16,38,256,,,,
369,Arte contemporáneo colombiano en el museo de arte moderno la tertulia,1997,Mayo ,Camilo Umaña Caro ,"Panamericana, formas e impresos",Catálogo ,Libro ,Encolado ,0,,,24,28,72,672,,,,
370,"Óscar Muñoz, Narcisos",1995,Octubre,,,Invitación,poster,,0,,,20,27.1,1,542,,,,
371,Programación de eventos sept-octubre 2007,2007,septiembre,,,programacion,plegable,,0,,,21,10,8,210,,,,
372,"Jose Luis Cuevas, Suite Madrileña",1995,septiembre,,Plenty Ltda.,Programa de mano,plegable,,0,,,21.5,22.8,6,490.2,,,,
373,"Programación de eventos, julio- Agosto",2007,Julio,,,programacion,plegable,,0,,,10,21,8,210,,,,
374,Informe de labores del Museo de Arte Moderno La Tertulia,1995,Diciembre,,,Informe,cuadernillo,Caballete,0,,,16.5,21.7,16,358.05,,,,
375,"Gregorio Cuartas, Pinturas y Dibujos",1995,Junio,,Plenty Ltda.,Invitación,volante,,0,,,16.6,23.6,2,391.76,,,,
376,"Monica Meira, pinturas",2007,febrero,Miguel Cardenas,Saenz y Cia,"Catalogo, Programa de mano",cuadernillo,encolado ,0,,,21,27.8,28,583.8,,,,si
377,Acuaticas,1995,Enero,,Plenty Ltda.,"Programa de mano, Catálogo",Cuadernillo,Caballete,0,,,21.5,27.5,16,591.25,,,,
378,Ex-Libris,1989,Octubre,Ernesto Restrepo,Edinalco Ltda.,"Programa de mano, Catálogo",Cuadernillo,Caballete,0,,,21.8,28,12,610.4,,,,
379,Movilización: El diseño para reunír,2001,septiembre,Evans & Wong,,"Programa de mano, Catálogo",Librillo ,encolado ,0,,,18,18,52,324,,,,
380,imaginario,1996,enero,,,programa de mano,postales,,0,,,21.5,21.5,12,462.25,,,,
381,"Jim amaral, Rodrigo Callejas, María de la Pazz Jaramillo Nadin Ospina Maria Clara Piñeyros",1996,Noviembre,Luz Stella Hernández,Plenty Ltda.,"Programa de mano, Catálogo",Plegable,,0,,,21.5,28.1,6,604.15,,,,
382,"Salvador Dalí, Roberto Sebastían Matta, obra grafica",1995,Noviembre,,,"Programa de mano, Invitación",postal,,0,,,16.5,23,,379.5,,,,
383,Natalia Restrepo,1996,Junio,,Plenty Ltda.,Programa de mano,Cuadernillo,Caballete,0,,,21.4,27.9,8,597.06,,,,
384,"Enrique Grau, Las Mariamulatas, Las Galapagos",1996,Abril,,Plenty Ltda.,Programa de mano,Plegable,,0,,,21.5,27.9,6,599.85,,,,
385,Ignacio Gomez Jaramillo 1910-1970,1989,Mayo,Alberto Sierra,Edinalco Ltda.,"Programa de  mano, catalogo",Cuadernillo,Caballete,0,,,21.3,23.5,16,500.55,,,,
387,"Pablo Van Wong, Esculturas",1993,Octubre,,Plenty Ltda.,Programa de mano,Plegable,,0,,,21.2,27.4,6,580.88,,,,
388,Atrato,2007,Julio,,,invitación,postal,,0,,,15,12,2,180,,,,
389,Carlos Rojas,1996,Marzo,,Plenty Ltda.,invitación,Postal,,0,,,16.6,23.6,2,391.76,,,,
390,Jose Horacio Martinez,1996,Mayo,Luz Stella Hernández,Plenty Ltda.,Programa de mano,Plegable,,0,,,21.6,28,6,604.8,,,,
391,Programa de eventos Noviembre,2007,Noviembre,,,programacion,plegable,,0,,,10,21,8,210,,,,
392,Programación de eventos  Marzo,2007,,,,,,,,,,,,,0,,,,
393,Revolución y Simulacro. Estrategias de Guerrilla de Mercado,2013,Mayo,,,Programa de mano,Plegable,,0,,,16,14.8,6,236.8,,,,
394,"El arte como experiencia, Un museo con historia",2012,Marzo,,,Invitación,"postal, plegable",,0,,,14,21.5,4,301,,,,
395,En cuAAtro,2010,Diciembre,,,invitación,poster,,0,,,17.5,25,16,437.5,,,,
396,Rutas del Fragmento a la constelación,2015,Agosto,,,Programa de mano,Plegable,,0,,,10.9,28,8,305.2,,,,
397,El Sueño,1999,Abril,,,Programa de mano,Plegable,,0,,,21.5,28,6,602,,,,
398,Maria Clara Piñeyro Pinturas - Muebles,1999,Mayo,,,Programa de mano,Plegable,,0,,,21.5,28,6,602,,,,
399,Rojo y Más Rojo. Taller 4 Rojo. Producción gráfica y Acción Directa,2014,Marzo,,,Programa de mano,Cuadernillo,Caballete,0,,,14,21,16,294,,,,
400,"Wilson Díaz ""Retrospectiva""",1998,Noviembre,,,Programa de mano,Plegable,,0,,,21.5,28,6,602,,,,
401,Brasil,1999,Marzo,,,Programa de mano,Plegable,,0,,,21.5,28,6,602,,,,
402,Cuatro Objetivos Cuatro Miradas,1998,Agosto,"Andrés Fresneda, Juan Pablo Fajardo",,Programa de mano,Encuadernado,Caballete,0,,,14.1,21.3,8,300.33,,,Sí,
403,Carmen Espinosa Intentos,1999,Octubre,,,Programa de mano,Plegable,,0,,,21.5,28,6,602,,,,
404,Programación de eventos MayoJunio,2007,Mayo,,,programacion,plegable,,0,,,10,21,8,210,,,,
405,Programación de eventos Julio–Agosto,2007,Julio,,,programacion,plegable,,0,,,10,21,8,210,,,,
406,Siete Artistas Colombianos A Traves de la Gráfica,1998,Febrero,,,Invitación,Postal,,0,,,20.9,10,1,209,,,,
407,Pluridimensional: 20 Artistas Colombianos en la Colección del Museo de Arte Moderno La Tertulia,1999,Junio,,,Programa de mano,Plegable,,0,,,21.5,28,6,602,,,,
408,Las estrellas en el  tropico,1998,Enero,Francisco Restrepo Nicholls,Excelsior Impresores,"Catalogo, programa de mano",cuadernillo,Caballete,0,,,21,28,16,588,,,,
409,"Lorenzo Jaramillo, Grabados y Dibujos",1998,Marzo,Luz Stella Hernández,Efex,"Programa de mano, Catálogo",Cuadernillo,Caballete,0,,,17.5,22.8,12,399,,,,
410,"Carlos Andrade, pinturas, cajas de luces y monotipos",1998,Marzo,,,Programa de mano,plegable,,0,,,21.5,26,6,559,,,,
411,"Rodrigo Facundo, en la Punta de la Lengua",1998,Septiembre,,,Programa de mano,Cuadernillo,Caballete,0,,,21.3,27.7,4,590.01,,,,
412,Carlos Salas Silva,1998,Noviembre,,,Programa de mano,Cuadernillo,Caballete,0,,,21.5,28,8,602,,,,
413,"Ana Claudia Múnera, Video - Instalaciones",1998,Octubre,,,Programa de mano,plegable,,0,,,21.5,27.9,6,599.85,,,,
414,"Cristina Llano, pinturas y dibujos",1998,Abril,,,programa de mano,plegable,,0,,,21,27.7,4,581.7,,,,
415,Guillermo Marín,1999,Octubre,,,Programa de mano,Plegable,,0,,,21.5,28,4,602,,,,
416,Hilda Crovo - Pinturas,1998,Junio,,,Programa de mano,poster,,0,,,21.4,29.5,2,631.3,,,,
417,Jorge González Dibujos,1999,Febrero,,,Programa de mano,Plegable,,0,,,21.5,28,4,602,,,,
418,"Jaime Iregui , El último vehiculo",1998,Junio,,,Programa de mano,Plegable,,0,,,21.5,28,4,602,,,,
419,Manglares Hernando Tejada,1999,Agosto,,,Programa de mano,Plegable,,0,,,21.5,28,6,602,,,,
420,Negret,1999,Septiembre,Luz Stella Hernández,,"Programa de mano, Catálogo",Cuadernillo,Caballete,0,,,21.5,28,16,602,,,,
421,Exposición Homenaje,1998,Julio,,,Programa de mano,Cuadernillo,Caballete,0,,,21.5,27.8,12,597.7,,,,
422,"Miguel Bohmer, la gloria, la corte, el mundo",2000,Enero,,,Programa de mano,plegable,,0,,,21.5,21.5,6,462.25,,,,
423,Lydia Azout,1999,Junio,,,Programa de mano,Cuadernillo,Caballete,0,,,16.7,18.6,8,310.62,,,,
424,"de ninfas tropicales, Variaciones",2000,Febrero,"Juan Pablo Fajardo, Andrés Fresneda",La Silueta,Programa de mano,Librillo,Caballete,0,,,16.5,23.5,28,387.75,,,,
425,Beatriz González ,2000,Mayo,,,programa de mano,cuadernillo,caballete,0,,,21,28,8,588,,,,
426,Sobre la muerte,2000,Febrero,Fernando Escobar,,"Programa de mano, Catálogo",plegable,,0,,,16.3,23,18,374.9,,,,
427,"Leonel Góngora, Obra Gráfica",2000,Marzo,,,Programa de mano,plegable,,0,,,21.6,28,6,604.8,,,,
428,De-lineamientos,2000,Junio,,,Programa de mano,plegable,,0,,,14.5,20.7,18,300.15,,,,
429,Ana Velasco Ficciones retinianas,2000,Octubre,,,programa de mano,plegable,,0,,,21.5,27.5,6,591.25,,,,
430,Angela Villegas- Pinturas Recientes,2000,Agosto,,,programa de mano,plegable,,0,,,21.5,27.6,6,593.4,,,,
431,Enrique Grau,2000,Noviembre,,,Catalogo,cuadernillo,caballete,0,,,24,22.5,12,540,,,,
432,"Wols -  Fotografías, acuarelas y Grabados",2000,Mayo,,,Catálogo,cuadernillo,caballete,0,,,15.5,23.3,20,361.15,,,,
433,A propósito del Lugar,2016,Noviembre,Cactus,Impresos Richard,Programa de Mano,plegable,,1,,,16.8,24,4,403.2,,,,
434,Imágenes Succionantes/Paisajes Intervenidos,2001,Diciembre,Juan Carlos Páramo,Panamericana,Catálogo,Librillo,Encolado,0,,,19,22,74,418,,,,
435,Elias Heim,1999,Octubre,,,Programa de mano,cuadernillo,Caballete,0,,,21,27.5,8,577.5,,,,
436,Testigos Silenciosos,2001,Julio,,Servigraficas Ltda.,Programa de mano,cuadernillo,Caballete,0,,,21,28.1,12,590.1,,,,
437,Rosemberg Sandoval,2001,Septiembre,,Feriva,"Programa de mano, Catálogo",cuadernillo,Caballete,0,,,21.4,27.8,24,594.92,,,,
438,"Horst Janssen, Aguas Fuertes",2001,Abril,,,Catálogo,cuadernillo,Caballete,0,,,21.4,27.4,20,586.36,,,,
439,Pablo Van Wong,2001,Agosto,,,Programa de mano,Cuadernillo,Caballete,0,,,21.5,27.9,8,599.85,,,,
440,Kim Manresa,2004,Febrero,,,Programa de mano,Plegable,,0,,,21,42,4,882,,,,
441,Retratos y Autoretratos,2001,Mayo,,,Programa de mano,"Plegable, Poster",,0,,,14.4,21.4,18,308.16,,,,
442,Jaime Franco ,2004,,,,Programa de mano,Cuadernillo,Caballete,0,,,21,27.4,12,575.4,,,,
