nombre_auspiciador,id_auspiciador,tipo,id_persona,id_organizacion
Cosejo Internacional del Museo de Arte Moderno de New York,121,organizacion,#N/A,141
Cuéllar Serrano Gómez,122,organizacion,#N/A,142
CVC,123,organizacion,#N/A,143
Decapack,125,organizacion,#N/A,144
Deloitte,126,organizacion,#N/A,145
Departamento de Arte Facultad de Artes y Humanidades de la Universidad de los Andes,127,organizacion,#N/A,146
Departamento del Valle,128,organizacion,#N/A,147
Departamento del Valle del Cauca,129,organizacion,#N/A,148
Deprisa,130,organizacion,#N/A,149
Desde el bienestar,131,organizacion,#N/A,150
Despacho de la Primera Dama del Valle del Cauca,132,organizacion,#N/A,151
Dirección de Arquitectura del Ministerio de Cultura y Comunicaciones de Francia,133,organizacion,#N/A,152
Dirección de Bellas Artes y Extensión Cultural del Valle,134,organizacion,#N/A,153
Dirección de Cultura de Cali,135,organizacion,#N/A,154
El Clavo,137,organizacion,#N/A,155
El País,138,organizacion,#N/A,156
El Péndulo,139,organizacion,#N/A,157
Embajada Británica,140,organizacion,#N/A,158
Embajada de Alemania,141,organizacion,#N/A,159
Embajada de Argentina,142,organizacion,#N/A,160
Embajada de Brasil,143,organizacion,#N/A,161
Embajada de Canadá,144,organizacion,#N/A,162
Embajada de China,145,organizacion,#N/A,163
Embajada de Colombia en Argentina,146,organizacion,#N/A,164
Embajada de España,147,organizacion,#N/A,165
Embajada de Francia,148,organizacion,#N/A,166
Embajada de la República Democrática Alemana,149,organizacion,#N/A,167
Embajada de la República Federal Alemana,150,organizacion,#N/A,168
Embajada de la República Popular de China,151,organizacion,#N/A,169
Embajada de los Estados Unidos,152,organizacion,#N/A,170
Embajada de México,153,organizacion,#N/A,171
Embajada de Perú,154,organizacion,#N/A,172
Embajada de Suiza,155,organizacion,#N/A,173
Embajada de Venezuela,156,organizacion,#N/A,174
Embajada de Yugoslavia,157,organizacion,#N/A,175
Emisora Planeta,159,organizacion,#N/A,177
Empresas Municipales de Cali,160,organizacion,#N/A,178
Empresas norteamericanas,161,organizacion,#N/A,179
En el marco del XV Festival Internacional de Arte de Cali,162,organizacion,#N/A,180
Epsa,163,organizacion,#N/A,181
Escuela de Arquitectura de la Universidad del Valle,164,organizacion,#N/A,182
Espacio Temporal Internacional Circuit México-Inglaterra-Argentina-Colombia,165,organizacion,#N/A,183
España Acción Cultural Exterior,166,organizacion,#N/A,184
Estación Digital,167,organizacion,#N/A,185
Estudios Takeshima,168,organizacion,#N/A,186
Eternit Pacífico,169,organizacion,#N/A,187
Everest Medical,170,organizacion,#N/A,188
Fantasías Femeninas,172,organizacion,#N/A,189
Faró,173,organizacion,#N/A,190
