nombre_s,tipo_s,nombre_t,tipo_t,ano
28 Artistas del Brasil - 1975,expo,Anna Bella Geiger,artista,1975
28 Artistas del Brasil - 1975,expo,Anna Letycia Quadros,artista,1975
28 Artistas del Brasil - 1975,expo,Arcangelo Ianelli,artista,1975
28 Artistas del Brasil - 1975,expo,Iazid Thame,artista,1975
28 Artistas del Brasil - 1975,expo,Roberto De Lamonica,artista,1975
28 Artistas del Brasil - 1975,expo,Tancredo De Araújo,artista,1975
XXV Salón Nacional de Artes Visuales - 1975,expo,Beatriz González,artista,1975
XXV Salón Nacional de Artes Visuales - 1975,expo,Alfredo Guerrero,artista,1975
XXV Salón Nacional de Artes Visuales - 1975,expo,Homero Aguilar,artista,1975
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Édgar Álvarez,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,David Becker,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Juan Fresan,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Susy Iglicki,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Lucy Tejada,artista,1977
Seis Artistas Premiados en la III Bienal de Artes Gráficas - 1977,expo,Mario Toral,artista,1977
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Ricardo Gómez Campuzano,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Rómulo Rozo,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Ignacio Gómez Jaramillo,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Carlos Correa,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Gonzalo Ariza,artista,1978
Pintura y Escultura Colombiana de los Años 30 - 1978,expo,Pedro Nel Gómez,artista,1978
Grabadores Norteamericanos - 1978,expo,Robert Kipniss,artista,1978
Grabadores Norteamericanos - 1978,expo,Will Barnet,artista,1978
Grabadores Norteamericanos - 1978,expo,Warrington Colescott,artista,1978
Arte de los 80 - 1980,expo,Adolfo Bernal,artista,1980
Arte de los 80 - 1980,expo,Alicia Barney,artista,1980
Arte de los 80 - 1980,expo,Antonio Caro,artista,1980
Arte de los 80 - 1980,expo,Fernando Cepeda,artista,1980
Arte de los 80 - 1980,expo,Geo Ripley,artista,1980
1960–1980 Alcántara - 1980,expo,Pedro Alcántara Herrán,artista,1980
Actitudes Plurales - 1983,expo,Becky Mayer,artista,1983
Actitudes Plurales - 1983,expo,Patricia Bonilla,artista,1983
Actitudes Plurales - 1983,expo,Julián Posada,artista,1983
Actitudes Plurales - 1983,expo,Alicia Barney,artista,1983
Geometría e Ilusión - 1983,expo,Ary Brizzi,artista,1983
Geometría e Ilusión - 1983,expo,Geny Dignac,artista,1983
Geometría e Ilusión - 1983,expo,Julio Le Parc,artista,1983
Geometría e Ilusión - 1983,expo,Eduardo Mac Entyre,artista,1983
Geometría e Ilusión - 1983,expo,Gabriel Messil,artista,1983
Geometría e Ilusión - 1983,expo,Rogelio Polesello,artista,1983
Geometría e Ilusión - 1983,expo,Carlos Cruz-Diez,artista,1983
Geometría e Ilusión - 1983,expo,Gertrud Goldschmidt,artista,1983
Geometría e Ilusión - 1983,expo,Mateo Manaure,artista,1983
Geometría e Ilusión - 1983,expo,Alejandro Otero,artista,1983
Geometría e Ilusión - 1983,expo,Víctor Varela,artista,1983
Carmen Aldunate - 1983,expo,Carmen Aldunate,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,José Bartoli,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Feliciano Bejar,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Leonora Carrington,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Alfredo Castañeda,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Arnaldo Coen,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Pedro Coronel,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Rafael Coronel,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Francisco Corzas,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,José Luis Cuevas,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Roberto Donis,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Helen Escobedo,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Manuel Felguérez,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Fernando García Ponce,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Alberto Gironella,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Mathias Goeritz,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Luis López Loza,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Jesús Martínez,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Ignacio Miranda,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Brian Nissen,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Emilio Ortiz,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Antonio Peláez,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,José Guadalupe Posada,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Ricardo Rocha,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Vicente Rojo,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Nunik Sauret,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,David Alfaro Siqueiros,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Juan Soriano,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Rufino Tamayo,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Francisco Toledo,artista,1983
Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Francisco Zúñiga,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Ever Astudillo,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Antonio Barrera,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Santiago Cárdenas,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Gregorio Cuartas,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Alfredo Guerrero,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Óscar Jaramillo,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Darío Morales,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Saturnino Ramírez,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Javier Restrepo,artista,1983
Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia - 1983,expo,Mariana Varela,artista,1983
Dibujos de Ficciones - 1983,expo,Gustavo Zalamea,artista,1983
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Willem De Kooning,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Sam Francis,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Roy Lichtenstein,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Richard Lindner,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Robert Motherwell,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Louise Nevelson,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Henry Pearson,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Saul Steinberg,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Mauricio Lasansky,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Peter Milton,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,David Becker,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Carol Summers,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Andy Warhol,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Robert Rauschenberg,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Jim Dine,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Robert Indiana,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,John McLaughlin,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Alexander Calder,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Will Barnet,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Leonard Baskin,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Herbert Bayer,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Warrington Colescott,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Allan D'Arcangelo,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Milton Glaser,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,John Paul Jones,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Robert Kipniss,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Kenjilo Nanao,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Robert Nelson,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Thom O'Connor,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Gabor Peterdi,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Charles Roth,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Edward Ruscha,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Masaaki Sato,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Ernest Trova,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,William Weege,artista,1984
Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Richard Claude Ziemann,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Rodolfo Abularach,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,David Manzur,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Alejandro Obregón,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,María Thereza Negreiros,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Lucy Tejada,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Beatriz Daza,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Santiago Cárdenas,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Emma Reyes,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Beatriz González,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Enrique Grau,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Manuel Hernández,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Álvaro Herrán,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Luciano Jaramillo,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Antonio Barrera,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Jonier Marín,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Fernando Maza,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Gabriel Messil,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Noé Nojechowicz,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Rogelio Polesello,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Liliana Porter,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Eduardo Mac Entyre,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Delia Cugat,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Ary Brizzi,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Hugo Cifuentes,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Carlos Cruz-Diez,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Fernando de Szyszlo,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Emilio Sánchez,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Agustín Fernández,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Rubens Gerchman,artista,1984
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984 - 1984,expo,Óscar Pantoja,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Édgar Negret,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Eduardo Ramírez Villamizar,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Fernando Botero,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Enrique Grau,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Hernando Tejada,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Beatriz Daza,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Bernardo Salcedo,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Carlos Rojas,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Feliza Bursztyn,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Beatriz González,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Ómar Rayo,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Olga de Amaral,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,María Thereza Negreiros,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Jim Amaral,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Darío Morales,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Antonio Caro,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,John Castles,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Ronny Vayda,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Juan Camilo Uribe,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Alicia Barney,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Santiago Uribe Holguín,artista,1984
Aspectos de lo Tridimensional en el Arte Colombiano - 1984,expo,Jonier Marín,artista,1984
Exposición de Débora Arango 1985 - 1985,expo,Débora Arango,artista,1985
Alicia Viteri - 1985,expo,Alicia Viteri,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,Ómar Rayo,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,Pedro Alcántara Herrán,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,Leonel Góngora,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,Lucy Tejada,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,Hernando Tejada,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,María Thereza Negreiros,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,Mario Gordillo,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,Enrique Sánchez,artista,1985
Homenaje de Propal a su Ciudad - 1985,expo,Ever Astudillo,artista,1985
El Arte Descubre un Mundo - 1986,expo,Guillermo Wiedemann,artista,1986
4 Maestros Latinoamericanos - 1987,expo,José Gamarra,artista,1987
4 Maestros Latinoamericanos - 1987,expo,Antonio Seguí,artista,1987
4 Maestros Latinoamericanos - 1987,expo,Francisco Toledo,artista,1987
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Ary Brizzi,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Fernando Maza,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Gabriel Messil,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Marta Minujín,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Rogelio Polesello,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Liliana Porter,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Rubens Gerchman,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Arcangelo Ianelli,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Daniel Senise,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Agustín Fernández,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Carlos Cruz-Diez,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Jesús Rafael Soto,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Olga de Amaral,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Antonio Barrera,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Feliza Bursztyn,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Santiago Cárdenas,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Beatriz González,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Enrique Grau,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,David Manzur,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Édgar Negret,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Ómar Rayo,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Carlos Rojas,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Bernardo Salcedo,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Diego Arango,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Mario Ossaba,artista,1988
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988 - 1988,expo,Vivian Monsalve,artista,1988
Una Interpretación de Caravaggio - 1988,expo,Ana Mercedes Hoyos,artista,1988
Ocho Artistas Colombianos en la Colección del Museo - 1988,expo,Édgar Negret,artista,1988
Ocho Artistas Colombianos en la Colección del Museo - 1988,expo,Enrique Grau,artista,1988
Ocho Artistas Colombianos en la Colección del Museo - 1988,expo,Manuel Hernández,artista,1988
Ocho Artistas Colombianos en la Colección del Museo - 1988,expo,Carlos Rojas,artista,1988
Ocho Artistas Colombianos en la Colección del Museo - 1988,expo,Santiago Cárdenas,artista,1988
Ocho Artistas Colombianos en la Colección del Museo - 1988,expo,Beatriz González,artista,1988
Ocho Artistas Colombianos en la Colección del Museo - 1988,expo,Luis Caballero,artista,1988
Ocho Artistas Colombianos en la Colección del Museo - 1988,expo,Pedro Alcántara Herrán,artista,1988
Exposición de Efraim Martínez - 1988,expo,Efraim Martínez,artista,1988
Jan Bartelsman - 1988,expo,Jan Bartelsman,artista,1988
Diez Artistas Chilenos - 1988,expo,José Balmes,artista,1988
Diez Artistas Chilenos - 1988,expo,Gracia Barrios,artista,1988
Diez Artistas Chilenos - 1988,expo,Sammy Benmayor,artista,1988
Diez Artistas Chilenos - 1988,expo,Roser Bru,artista,1988
Diez Artistas Chilenos - 1988,expo,Eugenio Dittborn,artista,1988
Diez Artistas Chilenos - 1988,expo,Guillermo Núñez,artista,1988
Fotografías y su Relación - 1989,expo,Patricia Bonilla,artista,1989
Fotografías y su Relación - 1989,expo,Herman Braun-Vega,artista,1989
Fotografías y su Relación - 1989,expo,Chuck Close,artista,1989
Fotografías y su Relación - 1989,expo,Hernán Díaz,artista,1989
Fotografías y su Relación - 1989,expo,Eugenio Dittborn,artista,1989
Fotografías y su Relación - 1989,expo,Fernell Franco,artista,1989
Fotografías y su Relación - 1989,expo,Beatriz González,artista,1989
Fotografías y su Relación - 1989,expo,Mónika Herrán,artista,1989
Fotografías y su Relación - 1989,expo,Luciano Jaramillo,artista,1989
Fotografías y su Relación - 1989,expo,Karen Lamassonne,artista,1989
Fotografías y su Relación - 1989,expo,Alberto Lenis Burckhardt,artista,1989
Fotografías y su Relación - 1989,expo,Roy Lichtenstein,artista,1989
Fotografías y su Relación - 1989,expo,Arnulfo Luna,artista,1989
Fotografías y su Relación - 1989,expo,Becky Mayer,artista,1989
Fotografías y su Relación - 1989,expo,Peter Milton,artista,1989
Fotografías y su Relación - 1989,expo,Otto Moll González,artista,1989
Fotografías y su Relación - 1989,expo,Darío Morales,artista,1989
Fotografías y su Relación - 1989,expo,Liliana Porter,artista,1989
Fotografías y su Relación - 1989,expo,Johnny Rasmussen,artista,1989
Fotografías y su Relación - 1989,expo,Robert Rauschenberg,artista,1989
Fotografías y su Relación - 1989,expo,Melitón Rodríguez,artista,1989
Fotografías y su Relación - 1989,expo,Mercedes Sebastián,artista,1989
Fotografías y su Relación - 1989,expo,Fabio Serrano,artista,1989
Fotografías y su Relación - 1989,expo,William Weege,artista,1989
Tres Artistas de Puerto Rico - 1989,expo,Carlos Collazo,artista,1989
Tres Artistas de Puerto Rico - 1989,expo,Jaime Suárez,artista,1989
Gráfica OP 89 Duque Se Expone - 1989,expo,Carlos Duque,artista,1989
Cinco Pintores Abstractos - 1989,expo,Danilo Dueñas,artista,1989
Cinco Pintores Abstractos - 1989,expo,Luis Fernando Roldán,artista,1989
Cinco Pintores Abstractos - 1989,expo,Carlos Salas Silva,artista,1989
Cinco Pintores Abstractos - 1989,expo,Santiago Uribe Holguín,artista,1989
Cinco Pintores Abstractos - 1989,expo,Luis Fernando Zapata,artista,1989
Karen Lamassonne Pinturas - 1989,expo,Karen Lamassonne,artista,1989
Ignacio Gomez Jaramillo 1910-1970 - 1989,expo,Ignacio Gómez Jaramillo,artista,1989
Exposición de Becky Mayer - 1989,expo,Becky Mayer,artista,1989
Homenaje a Adalbert Meindl - 1989,expo,Lucy Tejada,artista,1989
Pinturas Tridimesionales - 1989,expo,Beatriz Ángel,artista,1989
Muestra de pintura abstracta latinoamericana de la Colección del Museo de Arte Moderno La Tertulia - 1989,expo,Fernando de Szyszlo,artista,1989
Muestra de pintura abstracta latinoamericana de la Colección del Museo de Arte Moderno La Tertulia - 1989,expo,Óscar Pantoja,artista,1989
