id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,rol_expo,nombre_registro_agente,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_agente_inicia,ano_agente_fin,sexo,nacionalidad_agente,pais_nacimiento,ciudad_nacimiento,obra_en_coleccion_MTL,tipo_agente,id_organizaciones
8,8,Óleos y témperas de Alejandro Obregón,1956-10-26,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Alejandro Obregón,41,Alejandro,Obregón,NA,NA,1920,1992,M,Español,España,Barcelona,6,persona,NA
8,8,Óleos y témperas de Alejandro Obregón,1956-10-26,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Emma Alder de Gamboa,3255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
9,9,Exposición de caricatura,1956-11-09,1900-01-01,NA,Casona San Antonio,NA,NA,presentador,José Gers,3256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
10,10,Yesid Montaña,1956-11-16,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Yesid Montaña,704,Yesid,Montaña,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
10,10,Yesid Montaña,1956-11-16,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Octavio Gamboa,3257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
11,11,Acuarelas de Hernando Tejada y María Teresa de Patiño,1956-11-27,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Hernando Tejada,23,Hernando,Tejada,NA,NA,1924,1999,M,Colombia,Colombia,Pereira,11,persona,NA
11,11,Acuarelas de Hernando Tejada y María Teresa de Patiño,1956-11-27,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,María Teresa de Patiño,2453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
11,11,Acuarelas de Hernando Tejada y María Teresa de Patiño,1956-11-27,1900-01-01,NA,Casona San Antonio,NA,colectiva,presentador,Enrique Buenaventura,569,Enrique,Buenaventura,NA,NA,NA,NA,NA,Colombia,NA,NA,1,persona,NA
12,12,Jorge Elías Triana,1956-12-13,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Jorge Elías Triana,2344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
12,12,Jorge Elías Triana,1956-12-13,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Gustavo Camargo,3259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
