"","agente","rol"
"843","Andréas Aas","artista"
"844","Adam Jorg","artista"
"845","Dominik Harborth","artista"
"846","Ron Arad","artista"
"847","Ronan","artista"
"848","Erwan Bouroullec","artista"
"849","Bass Pression","artista"
"850","Claudio Colucci","artista"
"851","Matali Crasset","artista"
"852","Delo Lindo","artista"
"853","Durlet","artista"
"854","evansandwong","artista"
"855","Roberto Rosario","artista"
"856","Adrien Gardère","artista"
"857","Kristian Gavoille","artista"
"858","Marti Guixé","artista"
"859","Richar Hutten","artista"
"860","Sophie Larger","artista"
"861","Monika Lipken","artista"
"862","Jasper Morrison","artista"
"863","NU","artista"
"864","Marc Newson","artista"
"865","Oliver Peyricot","artista"
"866","Prins Martjin","artista"
"867","Radi","artista"
"868","Pucci de Rossi","artista"
"869","Milan Simic","artista"
"870","Sismo","artista"
"871","Philippe Starck","artista"
"872","Alexis Tricoire","artista"
"873","Carlos Granada","artista"
"874","Ángel Loochkartt","artista"
"875","Hernán Darío Correa","artista"
"876","Alberto Soto","artista"
"877","Helio Salcedo","artista"
"878","Fernando Maldonado","artista"
"879","Luis Cabrera","artista"
"880","Leonilda González","artista"
"881","Eduardo Esparza","artista"
"882","Walter Tello","artista"
"883","Joseph Kosuth","artista"
"884","Tomas Reyes","artista"
"885","Marco Ospina","artista"
"886","Hernando del Villar","artista"
"887","María Clara Piñeyro","artista"
"888","Jean Gabriel Thénot","artista"
"889","Marta Lucía Villafañe","artista"
"890","Leitón Rodríguez","artista"
"891","Hilda Crovo","artista"
"892","Francisco De La Puente","artista"
"893","Adriana Pérez","artista"
"894","Proyecto Medusa","artista"
"895","Federico Guzmán","artista"
"896","Inés Gaitán","artista"
"897","3 Libras","artista"
"898","Liliana Díaz","artista"
"899","Nini Johana","artista"
"900","Pierre Pinoncelli","artista"
"901","Lin Jinghua","artista"
"902","Tang Desheng","artista"
"903","Zheng Yunfeg","artista"
"904","Jaime Cárdenas","artista"
"905","Jaime Ávila","artista"
"906","Wilmer García","artista"
"907","Juan Manuel Echavarría","artista"
"908","Francis Bacon","artista"
"909","Todd Ayoung","artista"
"910","François Dolmetsch","artista"
"911","Jean-Christoph Ballot","artista"
"912","Jerome Brézillon","artista"
"913","Thibaut Cuisset","artista"
"914","Marc Melki","artista"
"915","Patrick Messina","artista"
"916","Michel Séméniako","artista"
"917","Pascal Dolémieux","artista"
"918","Daniel Maigné","artista"
"919","Grégoire Korganow","artista"
"920","Mi-Hyun Kim","artista"
"921","Marie-Paule Négre","artista"
"922","Martine Voyeux","artista"
"923","Lalo Borja","artista"
"924","James Brown","artista"
"925","Al Held","artista"
"926","Ellsworth Kelly","artista"
"927","Man Ray","artista"
"928","Richard Ziemann","artista"
"929","Kim Manresa","artista"
"930","Flavio Garciandía","artista"
"931","Beatriz Grau","artista"
"932","Bernardo Ortiz","curador-artista"
"933","Ángela Villegas","artista"
"934","María Angélica Medina","artista"
"935","Arthur Tashko","artista"
"936","Epifanio Garay","artista"
"937","Ricardo Acevedo Bernal","artista"
"938","Francisco Antonio Cano","artista"
"939","Eladio Vélez","artista"
"940","Noé León","artista"
"941","Maurio Gómez","artista"
"942","Fredy Serna","artista"
"943","Raheel Bruns","artista"
"944","Érika Diettes","artista"
"945","Luis Eduardo Ricaurte","artista"
"946","Ana María Velasco","artista"
"947","Gerardo Ravassa","artista"
"948","Joe Delgado","artista"
"949","Felipe Arbeláez","artista"
"950","Eduardo Muñoz Bachs","artista"
"951","Diana Saldarriaga","artista"
"952","Santiago Harker","artista"
"953","Anna María Botero","artista"
"954","Mónica Calderón","artista"
"955","Laboratorio artístico Chocó","artista"
"956","David Morán","artista"
"957","Lilia Yepes","artista"
"958","Angélica Castro","artista"
"959","Sergio Andrés Zapata","artista"
"960","Humberto Junca","artista"
"961","Ámbar Aboharb","artista"
"962","Lotty Rosenfeld","artista"
"963","François Bucher","artista"
"964","Luis Molina-Pantin","artista"
"965","Mguel Ángel Rojas","artista"
"966","Juan Fernando Herrán","artista"
"967","José Leonilson","artista"
"968","Tino Sehgal","artista"
"969","Judi Werthein","artista"
"970","Kara Walker","artista"
"971","Jean-Marc Bustamante","artista"
"972","Nan Goldin","artista"
"973","Clarisse Hahn","artista"
"974","Cecile Hartmann","artista"
"975","Jean Luc Moulene","artista"
"976","Loan Nguyen","artista"
"977","Yuki Onodéra","artista"
"978","Giles Saussier","artista"
"979","Bruno Serralongue","artista"
"980","Nancy Wilson Pajic","artista"
"981","Jonathan Zabriskie","artista"
"982","Wilson Díaz & Juan Mejía","artista"
"983","Pierre Aletchinsky","artista"
"984","Penny Bennet","artista"
"985","Saúl Huerta","artista"
"986","Roberto Cabrera","artista"
"987","Ned Truss","artista"
"988","Antonio Eligio Fernandez","artista"
"989","Antonio Joseph","artista"
"990","Federico Cantu","artista"
"991","Francisco Bellorín","artista"
"992","Jorge Camacho","artista"
"993","Jose Luis Cuevas","artista"
"994","Juan Manuel Lugo","artista"
"995","Julio Silva","artista"
"996","Sefa Ferré","artista"
"997","Ofelia Rodríguez","artista"
"998","Adolfo Riestra","artista"
"999","Alfredo Zalce","artista"
"1000","Ángel Ricardo","artista"
"1001","Ricardo Antonio Ruiz","artista"
"1002","Arturo García Bustos","artista"
"1003","Betsabé Romero","artista"
"1004","Boris Viskin","artista"
"1005","Carla Rippey","artista"
"1006","Cisco Jiménez","artista"
"1007","Dulce María Núñez","artista"
"1008","Fernando Casto Pacheco","artista"
"1009","Froylán Ruiz","artista"
"1010","Gabriel de la Mora","artista"
"1011","Gilberto Aceves Navarro","artista"
"1012","Graciela Iturbode","artista"
"1013","Héctor de Anda","artista"
"1014","Javier Arévalo","artista"
"1015","Javier de la Garza","artista"
"1016","Javier Marín","artista"
"1017","Jesús Urbieta","artista"
"1018","José Chavéz Morado","artista"
"1019","José Reyes Meza","artista"
"1020","Luis Carlos Barrios","artista"
"1021","Luis Nichizawa","artista"
"1022","Luis Ricaurte","curador-artista"
"1023","Maritza López","artista"
"1024","Mathías Goeritz","artista"
"1025","Miguel Castro Leñero","artista"
"1026","Nahúm B. Zenil","artista"
"1027","Nicolás Moreno","artista"
"1028","Pedro Rivera","artista"
"1029","Raúl Anguiano","artista"
"1030","Ricardo Martínez","artista"
"1031","Rina Lazo","artista"
"1032","Rodolfo Morales","artista"
"1033","Roger von Gunten","artista"
"1034","Santiago Rebolledo","artista"
"1035","Sebastián","artista"
"1036","Sergio Hernández","artista"
"1037","Susana Casarin","artista"
"1038","Tatiana Montoya","artista"
"1039","Tomás López Rocha Ulises Licea","artista"
"1040","Yolanda Andrade","artista"
"1041","Jennifer Allora","artista"
"1042","Guillermo Calzadilla","artista"
"1043","Yang Fudong","artista"
"1044","Rogelio Salmona","artista"
"1045","Coco Fusco","artista"
"1046","Liliana Angulo","artista"
"1047","Carlos Motta","artista"
"1048","Colectivo LTTR","artista"
"1049","Juan Guillermo Restrepo","artista"
"1050","Violeta Ospina","artista"
"1051","Nicolás Cadavid","artista"
"1052","Andrés Felipe Uribe","artista"
"1053","Juan Raúl Hoyos","artista"
"1054","Adriana Salazar","artista"
"1055","Colectivo Autoart","artista"
"1056","Alex Rodríguez","artista"
"1057","Andrea Rey","artista"
"1058","Santiago Leal","artista"
"1059","Paola Tafur","artista"
"1060","Ana María Villate","artista"
"1061","Edwin Monsalve","artista"
"1062","Precarius Tecnológicus","artista"
"1063","La virgen del milagro producciones","artista"
"1064","Camilo Restrepo","artista"
"1065","Dayro Carrasquilla","artista"
"1066","Carlos Castro","artista"
"1067","Ximena Díaz","artista"
"1068","Ernesto Recuero","artista"
"1069","Fernando Pareja & Leidy Chávez","artista"
"1070","Colectivo NN","artista"
"1071","Alejandra Rincón","artista"
"1072","Liliana Sánchez","artista"
"1073","Esteban Peña","artista"
"1074","Camila Echevarría & Michael Gavish","artista"
"1075","Nestor Gutiérrez","artista"
"1076","Carolina Ruiz","artista"
"1077","Adrián Gaitán","artista"
"1078","Alejandro Mancera","artista"
"1079","Sebastián Fierro","artista"
"1080","Mauricio Carmona","artista"
"1081","Santiago Escobar","artista"
"1082","Natalia Castañeda","artista"
"1083","Wilger Sotelo","artista"
"1084","Kevin Mancera","artista"
"1085","Andrea Acosta","artista"
"1086","Colectivo Producciones Invisibles","artista"
"1087","Óscar Castellanos","artista"
"1088","Óscar Leone","artista"
"1089","César Del Valle","artista"
"1090","Liliana Estrada","artista"
"1091","Nelson Guzmán","artista"
"1092","Diego Mendoza","artista"
"1093","Camilo Aguirre","artista"
"1094","William Bahos","artista"
"1095","Herlyng Ferla","curador-artista"
"1096","Edinson Quiñones","artista"
"1097","Kabaret Machine","artista"
"1098","Esteban López","artista"
"1099","Jorge R. Nuñez","artista"
"1100","Juan Pablo Marín","artista"
"1101","Mónica Restrepo","artista"
"1102","Juan Martín Rico","artista"
"1103","Rened Varona","artista"
"1104","Juan David Velásquez","artista"
"1105","Sergio Zapata","artista"
"1106","Future Farmers","artista"
"1107","Colectivo Incinerante","artista"
"1108","Amy Franceschini","artista"
"1109","Proyecto Dies","artista"
"1110","Charlie Dubbe","artista"
"1111","Leandra Plaza","artista"
"1112","Victor Albarracín","artista"
"1113","Iván Argote","artista"
"1114","Esteban Rivera","artista"
"1115","Matthieu Laurette","artista"
"1116","Nicolás Leguizamón","artista"
"1117","María Angélica Madero","artista"
"1118","Adriana Martínez","artista"
"1119","Mariana Murcia","artista"
"1120","María Paola Sánchez","artista"
"1121","Juan Peláez","artista"
"1122","Comando Libre S-II","artista"
"1123","Francisco Toquica","artista"
"1124","Guillermo Gómez Peña","artista"
"1125","Jaime Ávila Ferrer","artista"
"1126","Lorena Espitia","artista"
"1127","María Mercedes Salgado","artista"
"1128","Modern Mamboys","artista"
"1129","Paulo Licona","artista"
"1130","Cristiam Fajardo","artista"
"1131","Gustavo Niño","artista"
"1132","Orlando Rojas","artista"
"1133","Nirma Zárate","artista"
"1134","Umberto Giangrandi","artista"
"1135","Jorge Mora","artista"
"1136","Fabio Rodriguez Amaya","artista"
"1137","Rosario López","artista"
"1138","Vanessa Sandoval","artista"
"1139","Henry Salazar","artista"
"1140","Colectivo Sector Reforma","artista"
"1141","Inu Waters","artista"
"1142","Jim Pluk","artista"
"1143","Mateo Rivano","artista"
"1144","Powerpaola","artista"
"1145","Stinkfish","artista"
"1146","Typozon","artista"
"1147","Antonio Ungar","artista"
"1148","Antonio Yemail","artista"
"1149","Éricka Flórez","curador-artista"
"1150","Hernán Barón","artista"
"1151","Joni B","artista"
"1152","La Silueta","artista"
"1153","Laagencia","artista"
"1154","Luisa Ungar","artista"
"1155","María Isabel Rueda","artista"
"1156","Pablo Besse","artista"
"1157","Power Paola","artista"
"1158","Rubén Mendoza","artista"
"1159","Tatiana Acevedo","artista"
"1160","Tupac Cruz","artista"
"1161","Verónica Lehner","artista"
"1162","Breyner Huertas","curador-artista"
"1163","Carlos Tamayo","curador-artista"
"1164","Dayhana Muñoz","artista"
"1165","Hermann Yusty","curador-artista"
"1166","Irene Fuga","artista"
"1167","Jim Stoten","artista"
"1168","Nadia Granados","artista"
"1169","Samuel Bohórquez","artista"
"1170","Eduardo Motato","artista"
"1171","Natalia Correa","artista"
"1172","Dash/Lab","artista"
"1173","Alberto De Michele","artista"
"1174","Leonardo López","artista"
"1175","Camila Rodríguez","artista"
"1176","Juliano Ventura","artista"
"1177","Leonardo Amador","artista"
"1178","Lisseth Balcázar","artista"
"1179","Richard Bravo","artista"
"1180","Julien Creuzet","artista"
"1181","Nicolás González","artista"
"1182","Diego Hernández","artista"
"1183","William Narváez","artista"
"1184","Sandra Patricia Navia","artista"
"1185","Natalia Pipicano","artista"
"1186","Fredy Quinayas","artista"
"1187","Yeison Riascos","artista"
"1188","Juan Guillermo Tamayo","artista"
"1189","Iván Tovar","artista"
"1190","Sergio Vélez","artista"
"1191","Eyder Wilson Ul Ascue","artista"
"1192","Carlos Augusto Arcila Castillo","artista"
"1193","Mario Fernando Camargo Gómez","artista"
"1194","Santiago Osorio Medina","artista"
"1195","Arley Fernando Fernández Ortiz","artista"
"1196","Jennifer Peñaloza Dulcey","artista"
"1197","Laura Lucía Peña Escobar","artista"
"1198","Lizeth Fernanda Figueroa Cruz","artista"
"1199","Diana Cristina Flores Reina","artista"
"1200","Parménides Meneses Anganoy","artista"
"1201","Sergio Luis Cerón Muñoz","artista"
"1202","Martha Jamín Giraldo Castaño","artista"
"1203","Steven Andrés Ruiz Bello.","artista"
"1204","Luis Eduardo Tobón","artista"
"1205","Dash Shaw","artista"
"1206","Luis Echavarría","artista"
"1207","Rembrandt","artista"
"1208","Katia Maciel","artista"
"1209","André Parente","artista"
"1210","Adele Röder","artista"
"1211","Annette Kelm","artista"
"1212","Antje Majewski","artista"
"1213","Armin Linke","artista"
"1214","Clemens von Wedemeyer","artista"
"1215","Cyprien Gaillard","artista"
"1216","Danh Vo","artista"
"1217","Dani Gal","artista"
"1218","Henrik Olesen","artista"
"1219","Jutta Koether","artista"
"1220","Kerstin Brätsch","artista"
"1221","Mariana Castillo Deball","artista"
"1222","Nairy Baghramian","artista"
"1223","Nasan Tur","artista"
"1224","Nora Schultz","artista"
"1225","Yorgos Sapountzis","artista"
"1226","Alvaro Vanegas","artista"
"1227","Angélica María Ramírez","artista"
"1228","Camilo Aguilera","artista"
"1229","Carolina Ángel Idrobo","artista"
"1230","César Torres","artista"
"1231","Ela Spalding","artista"
"1232","Evelyn Soto Gabino","artista"
"1233","Trueba Arenas","artista"
"1234","Lina Sánchez Calderón","artista"
"1235","Lorena Marín","artista"
"1236","María Juliana Soto","artista"
"1237","Marilaura Cajar","artista"
"1238","Mauro Colombo","artista"
"1239","Melisa Saavedra Gil","artista"
"1240","Michelle Szejner","artista"
"1241","Miguel Tejada","artista"
"1242","Natalia Santa","artista"
"1243","Nathalie Spitia","artista"
"1244","Nestor Franco aka Bagual","artista"
"1245","Orgun Wagua","artista"
"1246","Oscar Narvaez","artista"
"1247","Patricia Verón","artista"
"1248","Sebastián Martínez","artista"
"1249","Stephanie López","artista"
"1250","Yolanda Chois","curador-artista"
"1251","Alberto Lezaca","artista"
"1252","Santiago Caicedo","artista"
"1253","Gustavo Toro","artista"
"1254","Carlos Mayolo","artista"
"1255","Oscar Muñoz","artista"
"1256","Jaime Soto","presentador"
"1257","Alfonso Bonilla Aragón","presentador"
"1258","Emma Alder de Gamboa","presentador"
"1259","Octavio Gamboa","presentador"
"1260","Enrique Buenaventura","presentador"
"1261","Gustavo Camargo","presentador"
"1262","Néstor Sanclemente","presentador"
"1263","Carlos Garcés Córdoba","presentador"
"1264","José María Capdevila","presentador"
"1265","Óscar Gerardo Ramos","presentador"
"1266","José María Vivas Balcázar","presentador"
"1267","Alba Inés Vivas","presentador"
"1268","Lucy Morales","presentador"
"1269","Nicolás Buenaventura","presentador"
"1270","Álvaro Navia Monedero","presentador"
"1271","Libardo Lozano G.","presentador"
"1272","Sacerdote Sendoya","presentador"
"1273","Juan Mathé","presentador"
"1274","Darío Ruíz Gómez","presentador"
"1275","Oscar Niemeyer","presentador"
"1276","Juan Carlos Botero","presentador"
"1277","Marc Berkowitz","curador"
"1278","Sergio Trujillo Jaramillo","curador"
"1279","Ed Love","curador"
"1280","Winston Kennedy","curador"
"1281","George Smiths","curador"
"1282","Willim Harris","curador"
"1283","Acklyn Lynch","curador"
"1284","Miguel González","curador"
"1285","Franz Bader","curador"
"1286","Darío Ruiz","curador"
"1287","Pablo Neruda","curador"
"1288","Bengt Oldenburg","curador"
"1289","Marta Traba","curador"
"1290","Germán Rubiano Caballero","curador"
"1291","Sylvan Cole","curador"
"1292","Waldemar Sommer","curador"
"1293","Intituto Smithsonian de EE.UU.","curador"
"1294","Alberto Sierra","curador"
"1295","Propal S.A.","curador"
"1296","María Elvira Iriarte","curador"
"1297","Carolina Ponce de León","curador"
"1298","Museo Nacional de Ciencia y Tecnología de Canadá","curador"
"1299","Alberto Pérez","curador"
"1300","Luis Ángel Parra","curador"
"1301","Alberto Quiroga","curador"
"1302","Pierre Courcelles","curador"
"1303","Eduardo Serrano","curador"
"1304","Jorge Glusberg","curador"
"1305","Santiago Samper Trainer","curador"
"1306","Francisco Ramírez Potes","curador"
"1307","Federico Morais","curador"
"1308","Galería de Francony de París","curador"
"1309","Instituto Tamarind de EE.UU.","curador"
"1310","Álvaro Medina","curador"
"1311","Galería Deimos de Bogotá","curador"
"1312","Carlos Botero","curador"
"1313","Pieter Bos","curador"
"1314","Ana Sokoloff","curador"
"1315","Bélgica Rodríguez","curador"
"1316","Gloria Delgado Restrepo","curador"
"1317","Talila Greenberg","curador"
"1318","Museo Nacional de Colombia","curador"
"1319","Monica Castillo","curador"
"1320","Carlos Jiménez","curador"
"1321","Soffy Arboleda de Vega","curador"
"1322","Jorge Jaramillo","curador"
"1323","Carlos Arturo Fernández","curador"
"1324","John Philips","curador"
"1325","José Roca","curador"
"1326","Ana María Lozano","curador"
"1327","Piedad Casas de Ballesteros","curador"
"1328","María Inés Rodríguez","curador"
"1329","Asociación Francesa de Acción Artística","curador"
"1330","Escuela Especial de Arquitectura/ESAP","curador"
"1331","Gerhnard Schack","curador"
"1332","María Margarita Jiménez","curador"
"1333","Doc Desing","curador"
"1334","Alberto Moreno","curador"
"1335","María Iovino","curador"
"1336","Cristo Hoyos","curador"
"1337","Javier Mejía","curador"
"1338","Diego L. Arango G.","curador"
"1339","Juan Alberto Gaviria","curador"
"1340","Jaime Tamayo","curador"
"1341","Carolina Vanegas","curador"
"1342","Germán García","curador"
"1343","German Patiño","curador"
"1344","Exposición realizada en el marco de PhotoCali 2007","curador"
"1345","Victoria Noorthoorn","curador"
"1346","Isabelle de Montfumat","curador"
"1347","Rafael Pérez y Pérez","curador"
"1348","Verónica Wiman","curador"
"1349","Ana Tiscornia","curador"
"1350","Fundación Rogelio Salmona","curador"
"1351","Carlos Betancourt","curador"
"1352","Juan Sebastián Ramírez","curador"
"1353","Guillermo Vanegas","curador"
"1354","María Wills","curador"
"1355","María Sol Barón","curador"
"1356","Camilo Ordóñez Robayo","curador"
"1357","Un Lugar de la Plastica","curador"
"1358","Carlos Quintero","curador"
"1359","Jenny Vilá","curador"
"1360","Elkin Calderón","curador"
"1361","Yohanna Roa","curador"
"1362","William Contreras Alfonso","curador"
"1363","Circular presents :Daniel Tejada & Sergio Zapata & David León & Adrián Gaitán","curador"
"1364","Alejandro Martín Maldonado","curador"
"1365","Riccardo Giacconi","curador"
"1366","Fiorella Gómez-Silva","curador"
"1367","Víctor Alcalde","curador"
"1368","Giancarlo Parodi","curador"
"1369","Andrés Casanova","curador"
"1370","Abraham Restrepo","curador"
"1371","Ángela Osorio","curador"
"1372","Laura Puerta","curador"
"1373","Rosa Perales Piqueres","curador"
"1374","María Fernanda Domínguez","curador"
"1375","José Ruiz","curador"
"1376","Nathalia Azuero","curador"
"1377","Andrés Pardo","curador"
"1378","Laura Jiménez","curador"
"1379","Juan Rodríguez Varón","curador"
"1380","Oscar Roldán-Alzate","curador"
"1381","Jaime Cerón","curador"
"1382","Angelika Stepken","curador"
"1383","Philipp Ziegler","curador"
"1384","Katia González","curador"
"1385","Maria Willis","curador"
