"","agente","rol"
"193","Mathias Goeritz","artista"
"194","Luis López Loza","artista"
"195","Teodoro Maoz","artista"
"196","Jesús Martínez","artista"
"197","Ignacio Miranda","artista"
"198","Brian Nissen","artista"
"199","Emilio Ortiz","artista"
"200","Antonio Peláez","artista"
"201","José Guadalupe Posada","artista"
"202","Ricardo Rocha","artista"
"203","Vicente Rojo","artista"
"204","Nunik Sauret","artista"
"205","David Alfaro Siqueiros","artista"
"206","Juan Soriano","artista"
"207","Rufino Tamayo","artista"
"208","Francisco Toledo","artista"
"209","Francisco Zúñiga","artista"
"210","Ever Astudillo","artista"
"211","Antonio Barrera","artista"
"212","Santiago Cárdenas","artista"
"213","Gregorio Cuartas","artista"
"214","Óscar Jaramillo","artista"
"215","Darío Morales","artista"
"216","Saturnino Ramírez","artista"
"217","Javier Restrepo","artista"
"218","Miguel Ángel Rojas","curador-artista"
"219","Mariana Varela","artista"
"220","Gustavo Zalamea","artista"
"221","Willem De Kooning","artista"
"222","Sam Francis","artista"
"223","Ellworth Kelly","artista"
"224","Roy Lichtenstein","artista"
"225","Richard Lindner","artista"
"226","Robert Motherwell","artista"
"227","Louise Nevelson","artista"
"228","Henry Pearson","artista"
"229","Saul Steinberg","artista"
"230","Mauricio Lasansky","artista"
"231","Peter Milton","artista"
"232","Carol Summers","artista"
"233","Andy Warhol","artista"
"234","Robert Rauschenberg","artista"
"235","Jim Dine","artista"
"236","Robert Indiana","artista"
"237","John McLaughlin","artista"
"238","Alexander Calder","artista"
"239","Leonard Baskin","artista"
"240","Herbert Bayer","artista"
"241","Allan D'Arcangelo","artista"
"242","Milton Glaser","artista"
"243","John Paul Jones","artista"
"244","Kenjilo Nanao","artista"
"245","Robert Nelson","artista"
"246","Thom O'Connor","artista"
"247","Gabor Peterdi","artista"
"248","Charles Roth","artista"
"249","Edward Ruscha","artista"
"250","Masaaki Sato","artista"
"251","Ernest Trova","artista"
"252","William Weege","artista"
"253","Richard Claude Ziemann","artista"
"254","Rodolfo Abularach","artista"
"255","Beatriz Daza","artista"
"256","Emma Reyes","artista"
"257","Enrique Grau","artista"
"258","Manuel Hernández","artista"
"259","Álvaro Herrán","artista"
"260","Luciano Jaramillo","artista"
"261","Jonier Marín","artista"
"262","Fernando Maza","artista"
"263","Noé Nojechowicz","artista"
"264","Liliana Porter","artista"
"265","Delia Cugat","artista"
"266","Hugo Cifuentes","artista"
"267","Fernando de Szyszlo","artista"
"268","Emilio Sánchez","artista"
"269","Agustín Fernández","artista"
"270","Rubens Gerchman","artista"
"271","Óscar Pantoja","artista"
"272","Deborah Aguado","artista"
"273","Jeanette Ahlgren","artista"
"274","Stephen Albair","artista"
"275","Setephan Charles Allendort","artista"
"276","Helen Banes","artista"
"277","James Bennett","artista"
"278","Cathy Berse","artista"
"279","Melodie Beylik","artista"
"280","Joan Fraerman Binkley","artista"
"281","Richard Coble","artista"
"282","Leslie Correl","artista"
"283","Amy Davison","artista"
"284","Edward de Large","artista"
"285","Sherry De Leon","artista"
"286","Ellen Dimsdale","artista"
"287","Debby Doolittle","artista"
"288","Patti Dougherty","artista"
"289","Robert Edendort","artista"
"290","Claudia Ebling","artista"
"291","Gloria Elliot","artista"
"292","Phillip Fike","artista"
"293","Arline Fisch","artista"
"294","Pat Flynn","artista"
"295","Diane Flyr","artista"
"296","Andrew Garn","artista"
"297","Elizabeth Garrison","artista"
"298","Thomas Gentille","artista"
"299","Martha Glowacki","artista"
"300","Garry Griffin","artista"
"301","Laurie Hall","artista"
"302","Florise Herbez","artista"
"303","Ron Ho","artista"
"304","Carol Shannon Hsu","artista"
"305","Marry Lee Hu","artista"
"306","June Jasen","artista"
"307","Lynda Kahn","artista"
"308","Jeannse Keefer","artista"
"309","Susan Kingsley","artista"
"310","Judith Ubick","artista"
"311","Brent Kington","artista"
"312","Alice H. Klein","artista"
"313","Kathryn Klingensmith","artista"
"314","Gretchen Klunder-Raber","artista"
"315","Jeffrey Krolik","artista"
"316","Belle Kuhn","artista"
"317","Roger Kuhn","artista"
"318","David Laplantz","artista"
"319","Rebekah Laskin","artista"
"320","Betty Len Lau","artista"
"321","Van LeBus","artista"
"322","Stanley Lechtzin","artista"
"323","Marc David Levine","artista"
"324","Keith Alan Lewis","artista"
"325","Daniel Fleckenstein","artista"
"326","Ronald Lodes","artista"
"327","Susan Webster Lowry","artista"
"328","Linda McNeil","artista"
"329","Richard Mafong","artista"
"330","Thomas Mann","artista"
"331","Bruce Metcalf","artista"
"332","Robert Lee Morris","artista"
