"","source","target","id_expo","nombre_expo_order_ano","ano","fecha_ini"
"1","Julio Abril","Alejandro Obregón",4,"4-Obras de Alejandro Obregón-1956",1956,1956-06-14
"2","Jaime Soto","Lucy Tejada",6,"6-Exposición de Lucy Tejada 1956-1956",1956,1956-10-05
"3","Alfonso Bonilla Aragón","Mireya Zawadzki",7,"7-Temas de Boca-Grande-1956",1956,1956-10-19
"4","Emma Alder de Gamboa","Alejandro Obregón",8,"8-Óleos y témperas de Alejandro Obregón-1956",1956,1956-10-26
"5","Octavio Gamboa","Yesid Montaña",10,"10-Yesid Montaña-1956",1956,1956-11-16
"6","Enrique Buenaventura","Hernando Tejada",11,"11-Acuarelas de Hernando Tejada y María Teresa de Patiño-1956",1956,1956-11-27
"7","Enrique Buenaventura","María Teresa de Patiño",11,"11-Acuarelas de Hernando Tejada y María Teresa de Patiño-1956",1956,1956-11-27
"8","Gustavo Camargo","Jorge Elías Triana",12,"12-Jorge Elías Triana-1956",1956,1956-12-13
"9","Néstor Sanclemente","Carlos Correa",13,"13-Carlos Correa-1957",1957,1957-03-01
"10","Carlos Garcés Córdoba","Mireya Zawadzki",17,"14-Exposición de Mireya Zawadzky-1957",1957,1957-04-01
"11","José María Capdevila","José María Vidal",14,"15-Pintura al Óleo del artista español José María Vidal-1957",1957,1957-04-06
"12","Óscar Gerardo Ramos","Mona Mondineu",15,"16-Exposición de vitrales de Mona Mondineu-1957",1957,1957-06-14
"13","Carlos Garcés Córdoba","Lucy Tejada",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"14","Carlos Garcés Córdoba","Mireya Zawadzki",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"15","Carlos Garcés Córdoba","Hernán Muñoz",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"16","Carlos Garcés Córdoba","Alfonso Vinasco",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"17","Carlos Garcés Córdoba","Mario Roldán",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"18","Carlos Garcés Córdoba","Hernando Tejada",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"19","Carlos Garcés Córdoba","Carlos Ruiz",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"20","Carlos Garcés Córdoba","Julio Abril",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"21","Carlos Garcés Córdoba","Hernando Salazar",16,"17-Jornadas de Mayo-1957",1957,1957-07-15
"22","José María Vivas Balcázar","Carlos Rojas",18,"18-Pintura abstracta de Carlos Rojas-1957",1957,1957-11-05
"23","Alba Inés Vivas","Ómar Rayo",19,"19-Pinturas de Ómar Rayo-1957",1957,1957-11-20
"24","Lucy Morales","Dicken Castro",20,"20-Acuarelas de Dicken Castro y cerámica Lucy Tejada-1957",1957,1957-12-06
"25","Lucy Morales","Lucy Tejada",20,"20-Acuarelas de Dicken Castro y cerámica Lucy Tejada-1957",1957,1957-12-06
"26","Mireya Zawadzki","José de Rokha",21,"21-José de Rokha-1958",1958,1958-02-07
"27","Óscar Gerardo Ramos","José Luis de Figueroa",24,"24-José Luis de Figueroa-1958",1958,1958-06-19
"28","Enrique Buenaventura","Aníbal Gil",25,"25-Aníbal Gil-1958",1958,1958-07-01
"29","Nicolás Buenaventura","Carlos Ruiz",28,"28-Carlos Ruiz-1958",1958,1958-11-28
"30","Álvaro Navia Monedero","Lucy Tejada",31,"31-Lucy Tejada y María Thereza Negreiros-1958",1958,1958-12-19
"31","Álvaro Navia Monedero","María Thereza Negreiros",31,"31-Lucy Tejada y María Thereza Negreiros-1958",1958,1958-12-19
"32","Libardo Lozano G.","Lucy Tejada",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"33","Libardo Lozano G.","Emilia Uribe de Mejía",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"34","Libardo Lozano G.","María Thereza de patiño",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"35","Libardo Lozano G.","David Manzur",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"36","Libardo Lozano G.","Hernando Tejada",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"37","Libardo Lozano G.","Leandro Velasco",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"38","Libardo Lozano G.","Adriano Moreno",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"39","Libardo Lozano G.","José Luis de Figueroa",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"40","Libardo Lozano G.","Fritz Seifert",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"41","Libardo Lozano G.","",50,"42-Exposición Colectiva de Pintura-1960",1960,1960-04-28
"42","Sacerdote Sendoya","Elio Berhanyer",49,"50-Elio Berhanyer-1960",1960,1960-12-29
"43","Néstor Sanclemente","Saúl Balagura",51,"51-Óleos-1961",1961,1961-01-20
"44","Juan Mathé","Eduardo Mac Entyre",146,"147-Eduardo McEntyre-1969",1969,1969-12-15
"45","Darío Ruíz Gómez","Leonel Góngora",251,"253-Los Caminos del Bien y del Mal-1982",1982,1982-04-01
"46","Oscar Niemeyer","Yutaka Toyota",256,"261-Yutaka Toyota-1982",1982,1982-11-22
"47","Juan Carlos Botero","María de la Paz Jaramillo",551,"556-Las Estrellas en el Trópico-1998",1998,1998-01-01
"48","Marc Berkowitz","Aloysio Magalhaes",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"49","Marc Berkowitz","Anna Bella Geiger",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"50","Marc Berkowitz","Anna Letycia Quadros",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"51","Marc Berkowitz","Anna María Maiolino",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"52","Marc Berkowitz","Arcangelo Ianelli",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"53","Marc Berkowitz","Darel Valenca",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"54","Marc Berkowitz","Eduardo Cruz",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"55","Marc Berkowitz","Iazid Thame",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"56","Marc Berkowitz","Ivan Freitas",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"57","Marc Berkowitz","Leda Watson",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"58","Marc Berkowitz","Luiz Aquila da Rocha",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"59","Marc Berkowitz","Márcia Barrozo do Amaral",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"60","Marc Berkowitz","María do Carmo Secco",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"61","Marc Berkowitz","Maia Lúcia Luz",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"62","Marc Berkowitz","María Tomaselli Cirne",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"63","Marc Berkowitz","Marília Rodrigues",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"64","Marc Berkowitz","Osmar Fonseca",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"65","Marc Berkowitz","Paulo Roberto Leal",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"66","Marc Berkowitz","Roberto Aguilar",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"67","Marc Berkowitz","Roberto De Lamonica",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"68","Marc Berkowitz","Rogério Luz",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"69","Marc Berkowitz","Tancredo De Araújo",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"70","Marc Berkowitz","Thereza Miranda",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"71","Marc Berkowitz","Thomaz Ianelli",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"72","Marc Berkowitz","Tomie Ohtake",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"73","Marc Berkowitz","Vera Chaves Barcellos",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"74","Marc Berkowitz","Vinicio Horta",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"75","Marc Berkowitz","Wanda Pimentel",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21
"76","Sergio Trujillo Jaramillo","Jairo Téllez",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13
"77","Sergio Trujillo Jaramillo","Édgar Álvarez",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13
"78","Sergio Trujillo Jaramillo","María de la Paz Jaramillo",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13
"79","Sergio Trujillo Jaramillo","Óscar Muñoz",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13
"80","Sergio Trujillo Jaramillo","Beatriz González",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13
"81","Sergio Trujillo Jaramillo","Alfredo Guerrero",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13
"82","Sergio Trujillo Jaramillo","Sara Modiano",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13
"83","Sergio Trujillo Jaramillo","Homero Aguilar",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13
