"","source","target","id_expo","nombre_expo_order_ano","ano","fecha_ini","ano_decimal"
"50","Marc Berkowitz","Anna Letycia Quadros",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"51","Marc Berkowitz","Anna María Maiolino",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"52","Marc Berkowitz","Arcangelo Ianelli",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"53","Marc Berkowitz","Darel Valenca",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"54","Marc Berkowitz","Eduardo Cruz",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"55","Marc Berkowitz","Iazid Thame",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"56","Marc Berkowitz","Ivan Freitas",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"57","Marc Berkowitz","Leda Watson",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"58","Marc Berkowitz","Luiz Aquila da Rocha",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"59","Marc Berkowitz","Márcia Barrozo do Amaral",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"60","Marc Berkowitz","María do Carmo Secco",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"61","Marc Berkowitz","Maia Lúcia Luz",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"62","Marc Berkowitz","María Tomaselli Cirne",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"63","Marc Berkowitz","Marília Rodrigues",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"64","Marc Berkowitz","Osmar Fonseca",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"65","Marc Berkowitz","Paulo Roberto Leal",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"66","Marc Berkowitz","Roberto Aguilar",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"67","Marc Berkowitz","Roberto De Lamonica",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"68","Marc Berkowitz","Rogério Luz",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"69","Marc Berkowitz","Tancredo De Araújo",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"70","Marc Berkowitz","Thereza Miranda",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"71","Marc Berkowitz","Thomaz Ianelli",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"72","Marc Berkowitz","Tomie Ohtake",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"73","Marc Berkowitz","Vera Chaves Barcellos",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"74","Marc Berkowitz","Vinicio Horta",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"75","Marc Berkowitz","Wanda Pimentel",194,"196-28 Artistas del Brasil-1975",1975,1975-02-21,1975.1397260274
"76","Sergio Trujillo Jaramillo","Jairo Téllez",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13,1975.36164383562
"77","Sergio Trujillo Jaramillo","Édgar Álvarez",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13,1975.36164383562
"78","Sergio Trujillo Jaramillo","María de la Paz Jaramillo",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13,1975.36164383562
"79","Sergio Trujillo Jaramillo","Óscar Muñoz",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13,1975.36164383562
